calcium_uM,duration_s,dynamic_gate_pass,integrations_run,root_id,status
0.1,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.1,600.0,False,0,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.25,600.0,False,0,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
0.5,600.0,False,0,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_RESTING_WT
