active_coordinate_indices,attempt_id,domain_wide_failure_class,elapsed_s,gate_failures,genotype_evaluations,nfev,observed_failure_classes,optimizer_message,optimizer_success,resting_admissible,restoration_norm,root_id,seed_kind,source
"[10, 12, 13, 19, 20]",legacy_00,PROVEN_STRUCTURAL_CONTRADICTION,2.866507027996704,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.00629233874952977,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00
"[1, 12, 13, 19, 20]",legacy_01,PROVEN_STRUCTURAL_CONTRADICTION,3.055585834001249,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.0032399132922360254,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,inherited_root,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00
"[10, 12, 13, 19, 20]",legacy_02,PROVEN_STRUCTURAL_CONTRADICTION,2.8052362790040206,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.006633783454449663,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00
"[1, 12, 13, 19, 20]",legacy_03,PROVEN_STRUCTURAL_CONTRADICTION,3.0731497110027703,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.0032059566765068066,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00
"[12, 13, 19, 20]",legacy_04,PROVEN_STRUCTURAL_CONTRADICTION,2.599557241999719,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.006457271039843963,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00
"[1, 12, 13, 19, 20]",legacy_05,PROVEN_STRUCTURAL_CONTRADICTION,3.1786016049954924,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.003392573825445992,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,inherited_root,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00
"[12, 13, 19, 20]",legacy_06,PROVEN_STRUCTURAL_CONTRADICTION,2.635230722000415,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.006305921269288049,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,inherited_root,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00
"[1, 12, 13, 19, 20]",legacy_07,PROVEN_STRUCTURAL_CONTRADICTION,3.264618382003391,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.003285718068077742,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,inherited_root,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00
"[10, 12, 13, 19, 20]",legacy_08,PROVEN_STRUCTURAL_CONTRADICTION,3.0299002320025465,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.006308635703755855,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,inherited_root,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00
"[1, 12, 13, 19, 20]",legacy_09,PROVEN_STRUCTURAL_CONTRADICTION,3.3347288250006386,"[""closure:max_abs_scaled_independent_rhs"", ""closure:max_abs_omitted_rhs"", ""thermodynamics:nonpositive_affinity"", ""thermodynamics:nonpositive_AE4_loading""]",0,1200,"[""THERMODYNAMIC_CONFLICT_AT_ENDPOINT"", ""NUMERICAL_NONCONVERGENCE_OF_RESTING_BALANCES""]",The maximum number of function evaluations is exceeded.,False,False,0.0033556487613418833,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,inherited_root,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00
