evaluation_index,soft_objective,constraint_violation,minimum_constraint_margin,stationary_feasible,numerical_pass,actual_residual_evaluations,q_out_pL_s,q_out_relative_error,nkcc1_positive_pool_share,ae4_positive_pool_share,cl_i_mM,ph_i,na_i_mM,multiplier_nkcc1_capacity,multiplier_ae4_carrier_amount,multiplier_ae2_capacity,multiplier_nak_pump_capacity,multiplier_k_conductance,multiplier_cacc_conductance
1,0.5712673434037678,5611285571.323579,-74908.50988338122,False,True,993,0.0009951266723348534,-0.07490950988338121,0.977966807549557,0.02203319245044304,53.314127982896764,6.8930359020246605,11.063997601165044,0.7134869177422251,15.870644383966859,1.0,1.0,1.0,1.0
2,0.49970721319403194,3807873.6362242126,-1951.1901273381477,False,True,713,0.0010778073706868869,0.0019521901273381475,0.9802512068703366,0.019748793129663416,60.54664856963726,6.901501851838363,11.673873052660996,1.0124861313138183,15.870644383966859,1.0,1.0,1.0,1.0
3,0.634158512984682,3774264.8308007238,-1942.5586763671263,False,True,90,0.001077798085771331,0.0019435586763671261,0.9802321370005715,0.01976786299942845,60.54686290108834,6.901319946168966,11.67425936849205,1.0124861313138183,22.521516420551198,1.0,1.0,1.0,1.0
4,0.5634434997812054,2210416.886531156,-1486.5042323275297,False,True,79,0.0010773075046377563,0.0014875042323275296,0.9786494902620813,0.02135050973791877,60.4932519644049,6.901432290855663,11.682978983552445,1.0124861313138183,15.870644383966859,1.4190675485932571,1.0,1.0,1.0
5,0.7602529226252501,3453682247.021498,-58768.03135864733,False,True,915,0.001138925666411625,0.058769031358647326,0.9814507107818081,0.01854928921819191,64.86792965404774,6.919110053274845,9.39696762863548,1.0124861313138183,15.870644383966859,1.0,1.4190675485932571,1.0,1.0
6,0.7563594688647396,3673688455.522423,-60610.95379243087,False,True,637,0.0011409081116842718,0.06061195379243086,0.9812019190669656,0.01879808093303437,57.753606413083546,6.895235031902067,12.271753020710069,1.0124861313138183,15.870644383966859,1.0,1.0,1.4190675485932571,1.0
7,0.7550655783259332,1304963387.4370239,-36124.26682943929,False,True,403,0.0011145676016754453,0.036125266829439284,0.9807571044421943,0.019242895557805718,59.09938974074317,6.89833374500699,11.975497713301726,1.0124861313138183,15.870644383966859,1.0,1.0,1.0,1.4190675485932571
8,0.7547190853771243,9543583557.60755,-97691.2629409209,False,True,876,0.0009706190966122686,-0.09769226294092088,0.9750216917568264,0.024978308243173607,55.52944506568671,6.890666924202081,12.28194683062988,0.8037133487804038,15.903656847710014,1.6895575142786443,0.8655497477182501,0.888912351004205,0.9385859160702792
9,0.6429837341559255,2333440342.053026,-48305.689405156496,False,True,514,0.0010237435227944014,-0.04830668940515649,0.9769932813215689,0.02300671867843105,59.13179250132235,6.896465482409081,12.268240637056483,0.9600640463786523,15.888175976765202,1.556742949849306,0.9060134466513982,0.9182238870893934,0.9541485222073104
10,0.5793815975872452,2526856.4958113316,-1589.381781240686,False,True,79,0.0010774181707769088,0.001590381781240686,0.978648650368566,0.021351349631434084,60.50146752434003,6.901431387959494,11.679709717018248,1.0126199995702259,16.580361280781542,1.4190675485932571,1.0004182267055748,1.0,1.0
11,0.5878300213233096,393241191.09610796,-19830.291806133777,False,True,225,0.001054374718292428,-0.019831291806133775,0.9778933511630127,0.022106648836987347,60.030916657860935,6.901495086193461,11.491216584423272,0.9604106822205493,15.87233360209034,1.4873491458546373,1.0006700759960054,0.9558499102548083,0.9754050555317162
12,0.5646893180833181,4377078.288699351,-2091.9742042534576,False,True,191,0.0010779588131581642,0.0020929742042534575,0.9786798140483111,0.021320185951688966,60.880220220581066,6.90220978898367,11.633698186951426,1.0236020089803948,15.869348734213665,1.4190675485932571,1.0051023131012853,0.9873869872152087,1.0
