quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,189.53194593792946,fmol,60,600
positive_ae4_cl_loading,4.301680265073695,fmol,60,600
positive_ae2_cl_loading,0.43509708838748185,fmol,60,600
signed_ae2_cl_flux,0.4345751922290468,fmol,60,600
nkcc1_cycles,94.76597296896473,fmol,60,600
ae4_signed_cl_flux,4.301680265073695,fmol,60,600
ae4_na_cell_source,-2.1508401325368474,fmol,60,600
ae4_k_cell_source,-2.1508401325368474,fmol,60,600
ae4_tic_cell_source,-8.60336053014739,fmol,60,600
ae4_ta_cell_source,-8.60336053014739,fmol,60,600
nbc_cycles,8.728138137676543,fmol,60,600
nbc_bicarbonate_equivalent_influx,17.456276275353087,fmol,60,600
nbc_current_charge,8.421373070029596e-10,C,60,600
nhe1_flux,1.9026821007376644,fmol,60,600
pump_cycles,33.24119511203055,fmol,60,600
cacc_cl_export,199.68239664680902,fmol,60,600
paracellular_cl_return,74.26135868039658,fmol,60,600
water_outflow,0.8512432377669586,pL,60,600
