quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,193.2091846303058,fmol,60,600
positive_ae4_cl_loading,0.0,fmol,60,600
positive_ae2_cl_loading,0.5114796433602822,fmol,60,600
signed_ae2_cl_flux,0.5113075385342807,fmol,60,600
nkcc1_cycles,96.6045923151529,fmol,60,600
ae4_signed_cl_flux,0.0,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,0.0,fmol,60,600
ae4_ta_cell_source,0.0,fmol,60,600
nbc_cycles,5.3939272413970105,fmol,60,600
nbc_bicarbonate_equivalent_influx,10.787854482794021,fmol,60,600
nbc_current_charge,5.20434861317306e-10,C,60,600
nhe1_flux,1.7621798739234413,fmol,60,600
pump_cycles,33.32977872136007,fmol,60,600
cacc_cl_export,198.6993139249661,fmol,60,600
paracellular_cl_return,73.9423049169211,fmol,60,600
water_outflow,0.8469752763905278,pL,60,600
