diagnostic,tolerance,wt_rest_abs,wt_max_abs,ae4_5pct_max_abs,ae4_null_max_abs
ae4_charge_fmol_s,1e-10,0.0,0.0,0.0,0.0
apical_current_A,1e-20,9.693522803355793e-27,2.455692443516801e-25,2.649562899583917e-25,2.714186384939622e-25
basolateral_current_A,1e-20,6.462348535570529e-27,2.4531075041025727e-23,2.4776644285377407e-23,2.4653859663201567e-23
buffer_site_accounting_fmol_s,1e-10,0.0,0.0,0.0,0.0
carbon_accounting_fmol_s,1e-10,3.2526065174565133e-19,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17
cell_bulk_charge_rate_fmol_s,1e-10,2.2551405187698492e-17,2.544631172440859e-13,2.571762247605136e-13,2.5617702403835096e-13
cell_speciation_alkalinity_mM,1e-09,2.327027459614328e-13,5.908162847845233e-12,5.936584557275637e-12,6.128431095930864e-12
homeostasis_charge_fmol_s,1e-10,2.2551405187698492e-17,6.938893903907228e-17,6.765421556309548e-17,6.938893903907228e-17
lumen_bulk_charge_rate_minus_outflow_fmol_s,1e-10,6.418476861114186e-17,2.550910871423895e-15,2.67841304690819e-15,2.800711051964555e-15
lumen_speciation_alkalinity_mM,1e-09,1.7763568394002505e-15,5.830891325331322e-13,6.039613253960852e-13,5.977440764581843e-13
water_volume_accounting_pL_s,1e-12,0.0,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19
