quantity,task31,task40,task40_minus_task31
ae2_cl_in_hco3_out_fmol_s,-0.001983554393538192,-0.0019869843454434683,-3.4299519052764967e-06
ae4_cl_cell_fmol_s,0.004937067441546469,0.004933930166208064,-3.137275338405132e-06
ae4_hco3_cell_fmol_s,-0.009874134883092939,-0.009867860332416128,6.274550676810264e-06
ae4_k_cell_fmol_s,-0.004489648165232279,-0.002466965083104032,0.002022683082128247
ae4_na_cell_fmol_s,-0.00044741927631419,-0.002466965083104032,-0.002019545806789842
cacc_cl_cell_to_lumen_fmol_s,0.2591979178212792,0.2596533219301311,0.00045540410885186455
co2_bath_to_cell_fmol_s,0.008627352435529976,0.00861927016851826,-8.08226701171609e-06
co2_lumen_to_cell_fmol_s,-0.0007367719459750211,-0.0007383941815456485,-1.6222355706274096e-06
k_apical_cell_to_lumen_fmol_s,0.03917708701720211,0.0392935068522695,0.00011641983506738979
k_basolateral_cell_to_bath_fmol_s,0.17483237627078485,0.1757707820916776,0.0009384058208927459
nhe1_na_in_h_out_fmol_s,0.007890580489555009,0.007880875986972877,-9.70450258213143e-06
nkcc1_cl_in_fmol_s,0.2562444047732706,0.256706376109366,0.0004619713360953792
nkcc1_cycle_in_fmol_s,0.1281222023866353,0.128353188054683,0.0002309856680476896
pump_apical_cycles_fmol_s,0.003661555226404882,0.003613089362403045,-4.846586400183723e-05
pump_basolateral_cycles_fmol_s,0.04152689930688717,0.040975943623780944,-0.0005509556831062232
water_bath_to_cell_pL_s,0.0010098322614000778,0.0010116854559962575,1.8531945961796758e-06
water_bath_to_lumen_pL_s,6.587512394893224e-05,6.599601474265227e-05,1.208907937200296e-07
water_cell_to_lumen_pL_s,0.0010098322614005882,0.0010116854559947934,1.8531945942051268e-06
water_lumen_outflow_pL_s,0.0010757073853493032,0.0010776814707374822,1.9740853881790223e-06
