time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,nkcc1_unrestricted_demand_fmol_s,nkcc1_finite_capacity_fmol_s,nkcc1_capacity_constraint_active,cumulative_outflow_0_t_pL
0.0,0.000986443658562211,10.840906598145207,115.46796949077347,52.63496105172438,5.396560277363248,4.659296011839902,6.901795684420944,1.3240367983674797,301.39393400594406,-0.03450385182283003,-0.06785036102968445,-0.03334650920685442,0.0,0.0,0.0,1.0,0.008468417534965094,0.2365066564674329,0.00025681676895900274,-0.0018042532245834129,0.23983873862510122,0.09628951012613347,0.11825332823371645,1.0,3467973.2850237326,0.0,0.041384526026267715,-0.00012840838447950137,-0.00012840838447950137,0.00012840838447950137,0.00012840838447950137,-0.0005136335379180055,-0.0005136335379180055,0.0,0.26088597423325033,0.11825332823371645,1.0,0.0
1e-06,0.000986443658562211,10.840906598145207,115.46796949077347,52.63496105172438,5.396560277363248,4.659296011839902,6.901795684420944,1.3240367983674797,301.39393400594406,-0.030730091043658495,-0.08043616481604166,-0.04970607377238316,1.0,0.10297860283126008,9.935924695427701e-12,2.3,0.01947736033041971,0.2365066564674329,0.00025681676895900274,-0.0018042532245834129,0.5611984596498165,0.1386782447816305,0.11825332823371645,1.75,3467973.2850237326,0.20595720566252015,0.041384526026267715,-0.00012840838447950137,-0.00012840838447950137,0.00012840838447950137,0.00012840838447950137,-0.0005136335379180055,-0.0005136335379180055,0.0,0.4565504549081881,0.11825332823371645,1.0,9.864436585622111e-10
1.0,0.0012674203188241862,10.93334698377969,115.37726248233405,52.42918801693024,5.561223354178185,4.80463845487699,6.903912357360994,1.3233704423880452,301.7568786833879,-0.030675863896422316,-0.08040796387757239,-0.04973209998115007,1.0,0.1021242296213854,9.853490212518513e-12,2.3,0.019196682744816774,0.2365066564674329,0.00043208317407125236,-0.0017284756299638005,0.5264284853997865,0.13890388956193198,0.11825332823371645,1.75,3467525.193052081,0.2042484592427708,0.041848945928372634,-0.00021604158703562618,-0.00021604158703562618,0.00021604158703562618,0.00021604158703562618,-0.0008641663481425047,-0.0008641663481425047,0.0,0.4566458554297882,0.11825332823371645,1.0,0.0011269318482048686
2.0,0.001485795904200027,11.021713494939915,115.2858823689977,52.235222192758805,5.722799022512251,4.947467141114357,6.906015371180219,1.3229708508847935,301.7190913837179,-0.03063189514597021,-0.0803790704652814,-0.04974717531931118,1.0,0.1012612721377202,9.770227473101637e-12,2.3,0.018922891901214964,0.2365066564674329,0.0006042201579324288,-0.0016554238648872441,0.5003551561703627,0.13899976626710905,0.11825332823371645,1.75,3466986.401424852,0.2025225442754404,0.04228738370388851,-0.0003021100789662144,-0.0003021100789662144,0.0003021100789662144,0.0003021100789662144,-0.0012084403158648576,-0.0012084403158648576,0.0,0.4567605931439206,0.11825332823371645,1.0,0.002503539959716975
3.0,0.001636688817291862,11.107060556830744,115.2001971043081,52.05350334565952,5.881776761331714,5.088195284518624,6.90810315103601,1.3227111790225914,301.6888082345782,-0.030611958190069562,-0.08035324192181109,-0.049741283731741526,1.0,0.10038624741837182,9.685800422442098e-12,2.3,0.018655343350349716,0.2365066564674329,0.0007736209853516787,-0.001584871723242131,0.4793650651306633,0.13903559591863537,0.11825332823371645,1.75,3466987.6127390354,0.20077249483674364,0.04270584770977015,-0.0003868104926758393,-0.0003868104926758393,0.0003868104926758393,0.0003868104926758393,-0.0015472419707033573,-0.0015472419707033573,0.0,0.4567603351570547,0.11825332823371645,1.0,0.0040647823204629195
4.0,0.0017376660633391884,11.18964464615119,115.11941037797772,51.88193081627454,6.038257724934875,5.226901465529614,6.91017444899642,1.3225624464517658,301.66403529349816,-0.0306089164396177,-0.08032972880501683,-0.04972081236539913,1.0,0.0995002724898475,9.600316837213435e-12,2.3,0.0183938745154568,0.2365066564674329,0.0009402973795670796,-0.0015166428900124352,0.46211526941921294,0.1390288115316983,0.11825332823371645,1.75,3467345.4447683045,0.199000544979695,0.04310614353764784,-0.0004701486897835398,-0.0004701486897835398,0.0004701486897835398,0.0004701486897835398,-0.0018805947591341592,-0.0018805947591341592,0.0,0.45668413024299015,0.11825332823371645,1.0,0.005751959760778445
5.0,0.001801759610057116,11.26966610380438,115.0429137514601,51.71892492195271,6.192321231549353,5.363645964122733,6.9122282892050615,1.322502965090312,301.64344770100143,-0.030618174334840216,-0.08030801416465354,-0.04968983982981332,1.0,0.09860447236218214,9.513885264382506e-12,2.3,0.018138336795622604,0.2365066564674329,0.0011042419195639898,-0.0014505911574752123,0.4477171783346299,0.1389906539063352,0.11825332823371645,1.75,3467926.617601273,0.1972089447243643,0.04348970719046792,-0.0005521209597819949,-0.0005521209597819949,0.0005521209597819949,0.0005521209597819949,-0.0022084838391279796,-0.0022084838391279796,0.0,0.4565603896367984,0.11825332823371645,1.0,0.007521672597476597
6.0,0.0018387258076860064,11.347287205063193,114.97022802445666,51.56325994259685,6.344032310062239,5.498477190241024,6.914263907556875,1.3225159760338119,301.62612852965253,-0.03063662559668053,-0.08028772647162265,-0.04965110087494212,1.0,0.09769996574353683,9.426613642877775e-12,2.3,0.017888589294998123,0.2365066564674329,0.0012654397062047138,-0.0013865913256932145,0.4355535739664291,0.1389287359404548,0.11825332823371645,1.75,3468631.574557261,0.19539993148707366,0.0438577253079296,-0.0006327198531023569,-0.0006327198531023569,0.0006327198531023569,0.0006327198531023569,-0.0025308794124094276,-0.0025308794124094276,0.0,0.45641033931780295,0.11825332823371645,1.0,0.009341915306348158
7.0,0.001855907205207269,11.422643124820334,114.900966012631,51.4139610422528,6.493446205120026,5.6314355176239665,6.9162807095731775,1.3225882128176256,301.61141784405066,-0.030662087483326578,-0.08026858994003519,-0.04960650245670861,1.0,0.09678785545213722,9.338608378482014e-12,2.3,0.017644495604600404,0.2365066564674329,0.0014238746865185038,-0.0013245336345164976,0.4251788183190894,0.13884842050286467,0.11825332823371645,1.75,3469384.362624933,0.19357571090427445,0.044211206327550816,-0.0007119373432592519,-0.0007119373432592519,0.0007119373432592519,0.0007119373432592519,-0.0028477493730370076,-0.0028477493730370076,0.0,0.45625016356763337,0.11825332823371645,1.0,0.011189231812794796
8.0,0.0018588439233641369,11.495849030637622,114.83480840676769,51.27023750955843,6.640611243393199,5.7625557195621235,6.918278239554302,1.3227089713524918,301.5988251246641,-0.030692976635683954,-0.08025039458981409,-0.049557417954130135,1.0,0.09586922138774959,9.249973665682827e-12,2.3,0.017405922105675497,0.2365066564674329,0.0015795331335146442,-0.0012643201584808773,0.4162608228758154,0.13875361046970563,0.11825332823371645,1.75,3470126.1301781875,0.19173844277549917,0.04455102571329794,-0.0007897665667573221,-0.0007897665667573221,0.0007897665667573221,0.0007897665667573221,-0.0031590662670292883,-0.0031590662670292883,0.0,0.4560923887011894,0.11825332823371645,1.0,0.013046607377080499
