quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,127.71359449241379,fmol,60,600
positive_ae4_cl_loading,5.5695224454830266,fmol,60,600
positive_ae2_cl_loading,1.0267932564216125,fmol,60,600
signed_ae2_cl_flux,1.0267932564216125,fmol,60,600
nkcc1_cycles,63.856797246206895,fmol,60,600
ae4_signed_cl_flux,5.5695224454830266,fmol,60,600
ae4_na_cell_source,-2.7847612227415133,fmol,60,600
ae4_k_cell_source,-2.7847612227415133,fmol,60,600
ae4_tic_cell_source,-11.139044890966053,fmol,60,600
ae4_ta_cell_source,-11.139044890966053,fmol,60,600
nbc_cycles,10.62326151290396,fmol,60,600
nbc_bicarbonate_equivalent_influx,21.24652302580792,fmol,60,600
nbc_current_charge,1.0249889152701522e-09,C,60,600
nhe1_flux,1.937667067148026,fmol,60,600
pump_cycles,25.892988707663953,fmol,60,600
cacc_cl_export,157.10560709580972,fmol,60,600
paracellular_cl_return,62.73870677882175,fmol,60,600
water_outflow,0.6470110197770916,pL,60,600
