quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,162.14857739603784,fmol,60,600
positive_ae4_cl_loading,4.157147721462343,fmol,60,600
positive_ae2_cl_loading,0.3471057939678478,fmol,60,600
signed_ae2_cl_flux,0.3444166507056467,fmol,60,600
nkcc1_cycles,81.07428869801892,fmol,60,600
ae4_signed_cl_flux,4.157147721462343,fmol,60,600
ae4_na_cell_source,-2.0785738607311717,fmol,60,600
ae4_k_cell_source,-2.0785738607311717,fmol,60,600
ae4_tic_cell_source,-8.314295442924687,fmol,60,600
ae4_ta_cell_source,-8.314295442924687,fmol,60,600
nbc_cycles,10.295487014605365,fmol,60,600
nbc_bicarbonate_equivalent_influx,20.59097402921073,fmol,60,600
nbc_current_charge,9.933634839413462e-10,C,60,600
nhe1_flux,1.9943775727406519,fmol,60,600
pump_cycles,30.13491656344332,fmol,60,600
cacc_cl_export,159.46086677628006,fmol,60,600
paracellular_cl_return,62.91124749752521,fmol,60,600
water_outflow,0.6592311242536981,pL,60,600
