quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,161.25616080685114,fmol,60,600
positive_ae4_cl_loading,0.0,fmol,60,600
positive_ae2_cl_loading,0.40362572141410125,fmol,60,600
signed_ae2_cl_flux,0.4015693262557484,fmol,60,600
nkcc1_cycles,80.62808040342557,fmol,60,600
ae4_signed_cl_flux,0.0,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,0.0,fmol,60,600
ae4_ta_cell_source,0.0,fmol,60,600
nbc_cycles,7.468569428018563,fmol,60,600
nbc_bicarbonate_equivalent_influx,14.937138856037127,fmol,60,600
nbc_current_charge,7.206074017236494e-10,C,60,600
nhe1_flux,1.8725178905047142,fmol,60,600
pump_cycles,29.721301462999016,fmol,60,600
cacc_cl_export,151.59437770029842,fmol,60,600
paracellular_cl_return,60.40874600135974,fmol,60,600
water_outflow,0.6237126141852231,pL,60,600
