case,quantity,max_abs_residual,tolerance,max_ratio
wt,ae4_charge_fmol_s,0.0,1e-10,0.0
wt,apical_current_A,2.455692443516801e-25,1e-20,2.455692443516801e-05
wt,basolateral_current_A,2.4531075041025727e-23,1e-20,0.002453107504102573
wt,buffer_site_accounting_fmol_s,0.0,1e-10,0.0
wt,carbon_accounting_fmol_s,5.551115123125783e-17,1e-10,5.551115123125783e-07
wt,cell_bulk_charge_rate_fmol_s,2.544631172440859e-13,1e-10,0.002544631172440859
wt,cell_speciation_alkalinity_mM,5.908162847845233e-12,1e-09,0.005908162847845233
wt,homeostasis_charge_fmol_s,6.938893903907228e-17,1e-10,6.938893903907228e-07
wt,lumen_bulk_charge_rate_minus_outflow_fmol_s,2.550910871423895e-15,1e-10,2.550910871423895e-05
wt,lumen_speciation_alkalinity_mM,5.830891325331322e-13,1e-09,0.0005830891325331322
wt,water_volume_accounting_pL_s,4.336808689942018e-19,1e-12,4.336808689942018e-07
ae4_5pct,ae4_charge_fmol_s,0.0,1e-10,0.0
ae4_5pct,apical_current_A,7.754818242684634e-26,1e-20,7.754818242684634e-06
ae4_5pct,basolateral_current_A,2.4812187202323045e-23,1e-20,0.0024812187202323047
ae4_5pct,buffer_site_accounting_fmol_s,0.0,1e-10,0.0
ae4_5pct,carbon_accounting_fmol_s,5.551115123125783e-17,1e-10,5.551115123125783e-07
ae4_5pct,cell_bulk_charge_rate_fmol_s,2.5723867480564877e-13,1e-10,0.0025723867480564877
ae4_5pct,cell_speciation_alkalinity_mM,5.8335558605904225e-12,1e-09,0.0058335558605904225
ae4_5pct,homeostasis_charge_fmol_s,6.591949208711867e-17,1e-10,6.591949208711867e-07
ae4_5pct,lumen_bulk_charge_rate_minus_outflow_fmol_s,7.840950111415168e-16,1e-10,7.840950111415168e-06
ae4_5pct,lumen_speciation_alkalinity_mM,6.59916565837193e-13,1e-09,0.000659916565837193
ae4_5pct,water_volume_accounting_pL_s,4.336808689942018e-19,1e-12,4.336808689942018e-07
ae4_null,ae4_charge_fmol_s,0.0,1e-10,0.0
ae4_null,apical_current_A,6.139231108792002e-26,1e-20,6.139231108792002e-06
ae4_null,basolateral_current_A,2.4670015534540493e-23,1e-20,0.0024670015534540494
ae4_null,buffer_site_accounting_fmol_s,0.0,1e-10,0.0
ae4_null,carbon_accounting_fmol_s,5.551115123125783e-17,1e-10,5.551115123125783e-07
ae4_null,cell_bulk_charge_rate_fmol_s,2.5546925686015243e-13,1e-10,0.0025546925686015243
ae4_null,cell_speciation_alkalinity_mM,5.631051180898794e-12,1e-09,0.005631051180898794
ae4_null,homeostasis_charge_fmol_s,6.722053469410127e-17,1e-10,6.722053469410127e-07
ae4_null,lumen_bulk_charge_rate_minus_outflow_fmol_s,6.227657278756737e-16,1e-10,6.2276572787567375e-06
ae4_null,lumen_speciation_alkalinity_mM,7.043254868221993e-13,1e-09,0.0007043254868221993
ae4_null,water_volume_accounting_pL_s,8.673617379884035e-19,1e-12,8.673617379884035e-07
