quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,127.71359449241379,fmol,60,600
positive_ae4_cl_loading,44.885681245988465,fmol,60,600
positive_ae2_cl_loading,0.0,fmol,60,600
signed_ae2_cl_flux,-0.19656333430341194,fmol,60,600
nkcc1_cycles,63.856797246206895,fmol,60,600
ae4_signed_cl_flux,44.885681245988465,fmol,60,600
ae4_na_cell_source,-22.442840622994233,fmol,60,600
ae4_k_cell_source,-22.442840622994233,fmol,60,600
ae4_tic_cell_source,-89.77136249197693,fmol,60,600
ae4_ta_cell_source,-89.77136249197693,fmol,60,600
nbc_cycles,42.80515199099233,fmol,60,600
nbc_bicarbonate_equivalent_influx,85.61030398198466,fmol,60,600
nbc_current_charge,4.130069306297975e-09,C,60,600
nhe1_flux,4.486424422879419,fmol,60,600
pump_cycles,29.429041800494907,fmol,60,600
cacc_cl_export,183.02482866343308,fmol,60,600
paracellular_cl_return,70.57244990125935,fmol,60,600
water_outflow,0.7642265338610656,pL,60,600
