quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,20.8934224808077,fmol,0,60
positive_ae4_cl_loading,0.204825038283383,fmol,0,60
positive_ae2_cl_loading,0.0,fmol,0,60
signed_ae2_cl_flux,-0.051677629335450774,fmol,0,60
nkcc1_cycles,10.44671124040385,fmol,0,60
ae4_signed_cl_flux,0.204825038283383,fmol,0,60
ae4_na_cell_source,-0.1024125191416915,fmol,0,60
ae4_k_cell_source,-0.1024125191416915,fmol,0,60
ae4_tic_cell_source,-0.409650076566766,fmol,0,60
ae4_ta_cell_source,-0.409650076566766,fmol,0,60
ae4_hco3_cell_source,-0.409650076566766,fmol,0,60
ae4_co3_cell_source,0.0,fmol,0,60
nbc_cycles,4.507240708489706,fmol,0,60
nbc_bicarbonate_equivalent_influx,9.014481416979413,fmol,0,60
nbc_current_charge,4.348826167034136e-10,C,0,60
nhe1_flux,0.7660032433092344,fmol,0,60
pump_cycles,3.209247731995296,fmol,0,60
cacc_cl_export,25.21727669400504,fmol,0,60
paracellular_cl_return,8.77066758923937,fmol,0,60
water_outflow,0.10736100974219237,pL,0,60
positive_nkcc1_cl_loading,189.53194593792955,fmol,60,600
positive_ae4_cl_loading,4.301680265073697,fmol,60,600
positive_ae2_cl_loading,0.43509708838748223,fmol,60,600
signed_ae2_cl_flux,0.43457519222904717,fmol,60,600
nkcc1_cycles,94.76597296896477,fmol,60,600
ae4_signed_cl_flux,4.301680265073697,fmol,60,600
ae4_na_cell_source,-2.1508401325368487,fmol,60,600
ae4_k_cell_source,-2.1508401325368487,fmol,60,600
ae4_tic_cell_source,-8.603360530147395,fmol,60,600
ae4_ta_cell_source,-8.603360530147395,fmol,60,600
ae4_hco3_cell_source,-8.603360530147395,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,8.728138137676533,fmol,60,600
nbc_bicarbonate_equivalent_influx,17.456276275353066,fmol,60,600
nbc_current_charge,8.421373070029586e-10,C,60,600
nhe1_flux,1.9026821007376584,fmol,60,600
pump_cycles,33.24119511203055,fmol,60,600
cacc_cl_export,199.68239664680908,fmol,60,600
paracellular_cl_return,74.2613586803966,fmol,60,600
water_outflow,0.8512432377669588,pL,60,600
positive_nkcc1_cl_loading,210.42536841873726,fmol,0,600
positive_ae4_cl_loading,4.5065053033570805,fmol,0,600
positive_ae2_cl_loading,0.4350970883874823,fmol,0,600
signed_ae2_cl_flux,0.38289756289359644,fmol,0,600
nkcc1_cycles,105.21268420936863,fmol,0,600
ae4_signed_cl_flux,4.5065053033570805,fmol,0,600
ae4_na_cell_source,-2.2532526516785403,fmol,0,600
ae4_k_cell_source,-2.2532526516785403,fmol,0,600
ae4_tic_cell_source,-9.013010606714161,fmol,0,600
ae4_ta_cell_source,-9.013010606714161,fmol,0,600
ae4_hco3_cell_source,-9.013010606714161,fmol,0,600
ae4_co3_cell_source,0.0,fmol,0,600
nbc_cycles,13.23537884616624,fmol,0,600
nbc_bicarbonate_equivalent_influx,26.47075769233248,fmol,0,600
nbc_current_charge,1.2770199237063722e-09,C,0,600
nhe1_flux,2.668685344046893,fmol,0,600
pump_cycles,36.45044284402586,fmol,0,600
cacc_cl_export,224.8996733408141,fmol,0,600
paracellular_cl_return,83.03202626963596,fmol,0,600
water_outflow,0.9586042475091512,pL,0,600
