quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,189.53194593792955,fmol,60,600
positive_ae4_cl_loading,4.301680265073697,fmol,60,600
positive_ae2_cl_loading,0.43509708838748223,fmol,60,600
signed_ae2_cl_flux,0.43457519222904717,fmol,60,600
nkcc1_cycles,94.76597296896477,fmol,60,600
ae4_signed_cl_flux,4.301680265073697,fmol,60,600
ae4_na_cell_source,-2.1508401325368487,fmol,60,600
ae4_k_cell_source,-2.1508401325368487,fmol,60,600
ae4_tic_cell_source,-8.603360530147395,fmol,60,600
ae4_ta_cell_source,-8.603360530147395,fmol,60,600
ae4_hco3_cell_source,-8.603360530147395,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,8.728138137676533,fmol,60,600
nbc_bicarbonate_equivalent_influx,17.456276275353066,fmol,60,600
nbc_current_charge,8.421373070029586e-10,C,60,600
nhe1_flux,1.9026821007376584,fmol,60,600
pump_cycles,33.24119511203055,fmol,60,600
cacc_cl_export,199.68239664680908,fmol,60,600
paracellular_cl_return,74.2613586803966,fmol,60,600
water_outflow,0.8512432377669588,pL,60,600
