quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,20.949951832207894,fmol,0,60
positive_ae4_cl_loading,0.0,fmol,0,60
positive_ae2_cl_loading,0.0,fmol,0,60
signed_ae2_cl_flux,-0.050298563252336545,fmol,0,60
nkcc1_cycles,10.474975916103947,fmol,0,60
ae4_signed_cl_flux,0.0,fmol,0,60
ae4_na_cell_source,0.0,fmol,0,60
ae4_k_cell_source,0.0,fmol,0,60
ae4_tic_cell_source,0.0,fmol,0,60
ae4_ta_cell_source,0.0,fmol,0,60
ae4_hco3_cell_source,0.0,fmol,0,60
ae4_co3_cell_source,0.0,fmol,0,60
nbc_cycles,4.466418365530409,fmol,0,60
nbc_bicarbonate_equivalent_influx,8.932836731060817,fmol,0,60
nbc_current_charge,4.3094385938506907e-10,C,0,60
nhe1_flux,0.7622632582212568,fmol,0,60
pump_cycles,3.2119476248893726,fmol,0,60
cacc_cl_export,25.193034202482053,fmol,0,60
paracellular_cl_return,8.765458541104763,fmol,0,60
water_outflow,0.10726276940732227,pL,0,60
positive_nkcc1_cl_loading,193.20918463030577,fmol,60,600
positive_ae4_cl_loading,0.0,fmol,60,600
positive_ae2_cl_loading,0.5114796433602822,fmol,60,600
signed_ae2_cl_flux,0.5113075385342807,fmol,60,600
nkcc1_cycles,96.60459231515289,fmol,60,600
ae4_signed_cl_flux,0.0,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,0.0,fmol,60,600
ae4_ta_cell_source,0.0,fmol,60,600
ae4_hco3_cell_source,0.0,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,5.3939272413970105,fmol,60,600
nbc_bicarbonate_equivalent_influx,10.787854482794021,fmol,60,600
nbc_current_charge,5.20434861317306e-10,C,60,600
nhe1_flux,1.7621798739234338,fmol,60,600
pump_cycles,33.32977872136007,fmol,60,600
cacc_cl_export,198.69931392496613,fmol,60,600
paracellular_cl_return,73.94230491692113,fmol,60,600
water_outflow,0.846975276390528,pL,60,600
positive_nkcc1_cl_loading,214.15913646251366,fmol,0,600
positive_ae4_cl_loading,0.0,fmol,0,600
positive_ae2_cl_loading,0.5114796433602822,fmol,0,600
signed_ae2_cl_flux,0.46100897528194407,fmol,0,600
nkcc1_cycles,107.07956823125683,fmol,0,600
ae4_signed_cl_flux,0.0,fmol,0,600
ae4_na_cell_source,0.0,fmol,0,600
ae4_k_cell_source,0.0,fmol,0,600
ae4_tic_cell_source,0.0,fmol,0,600
ae4_ta_cell_source,0.0,fmol,0,600
ae4_hco3_cell_source,0.0,fmol,0,600
ae4_co3_cell_source,0.0,fmol,0,600
nbc_cycles,9.860345606927417,fmol,0,600
nbc_bicarbonate_equivalent_influx,19.720691213854835,fmol,0,600
nbc_current_charge,9.51378720702375e-10,C,0,600
nhe1_flux,2.5244431321446905,fmol,0,600
pump_cycles,36.54172634624943,fmol,0,600
cacc_cl_export,223.8923481274482,fmol,0,600
paracellular_cl_return,82.70776345802588,fmol,0,600
water_outflow,0.9542380457978503,pL,0,600
