quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,20.11031409179381,fmol,0,60
positive_ae4_cl_loading,2.958665399112754,fmol,0,60
positive_ae2_cl_loading,0.0,fmol,0,60
signed_ae2_cl_flux,-0.07321946666636348,fmol,0,60
nkcc1_cycles,10.055157045896905,fmol,0,60
ae4_signed_cl_flux,2.958665399112754,fmol,0,60
ae4_na_cell_source,-1.479332699556377,fmol,0,60
ae4_k_cell_source,-1.479332699556377,fmol,0,60
ae4_tic_cell_source,-5.917330798225508,fmol,0,60
ae4_ta_cell_source,-5.917330798225508,fmol,0,60
ae4_hco3_cell_source,-5.917330798225508,fmol,0,60
ae4_co3_cell_source,0.0,fmol,0,60
nbc_cycles,5.079312916078036,fmol,0,60
nbc_bicarbonate_equivalent_influx,10.158625832156073,fmol,0,60
nbc_current_charge,4.90079193649195e-10,C,0,60
nhe1_flux,0.8249606229465796,fmol,0,60
pump_cycles,3.169118286903416,fmol,0,60
cacc_cl_export,25.557578283327377,fmol,0,60
paracellular_cl_return,8.844512221655341,fmol,0,60
water_outflow,0.10875318328773828,pL,0,60
positive_nkcc1_cl_loading,156.87217709705752,fmol,60,600
positive_ae4_cl_loading,41.05550196187763,fmol,60,600
positive_ae2_cl_loading,0.0,fmol,60,600
signed_ae2_cl_flux,-0.41841963649377545,fmol,60,600
nkcc1_cycles,78.43608854852876,fmol,60,600
ae4_signed_cl_flux,41.05550196187763,fmol,60,600
ae4_na_cell_source,-20.527750980938816,fmol,60,600
ae4_k_cell_source,-20.527750980938816,fmol,60,600
ae4_tic_cell_source,-82.11100392375526,fmol,60,600
ae4_ta_cell_source,-82.11100392375526,fmol,60,600
ae4_hco3_cell_source,-82.11100392375526,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,39.11027319901622,fmol,60,600
nbc_bicarbonate_equivalent_influx,78.22054639803244,fmol,60,600
nbc_current_charge,3.773567698911014e-09,C,60,600
nhe1_flux,4.056564553635603,fmol,60,600
pump_cycles,32.721489102993985,fmol,60,600
cacc_cl_export,207.32726287100792,fmol,60,600
paracellular_cl_return,76.82345519369227,fmol,60,600
water_outflow,0.8837713607940972,pL,60,600
positive_nkcc1_cl_loading,176.98249118885133,fmol,0,600
positive_ae4_cl_loading,44.014167360990385,fmol,0,600
positive_ae2_cl_loading,0.0,fmol,0,600
signed_ae2_cl_flux,-0.4916391031601389,fmol,0,600
nkcc1_cycles,88.49124559442566,fmol,0,600
ae4_signed_cl_flux,44.014167360990385,fmol,0,600
ae4_na_cell_source,-22.007083680495192,fmol,0,600
ae4_k_cell_source,-22.007083680495192,fmol,0,600
ae4_tic_cell_source,-88.02833472198077,fmol,0,600
ae4_ta_cell_source,-88.02833472198077,fmol,0,600
ae4_hco3_cell_source,-88.02833472198077,fmol,0,600
ae4_co3_cell_source,0.0,fmol,0,600
nbc_cycles,44.189586115094244,fmol,0,600
nbc_bicarbonate_equivalent_influx,88.37917223018849,fmol,0,600
nbc_current_charge,4.2636468925602095e-09,C,0,600
nhe1_flux,4.8815251765821825,fmol,0,600
pump_cycles,35.890607389897404,fmol,0,600
cacc_cl_export,232.88484115433528,fmol,0,600
paracellular_cl_return,85.6679674153476,fmol,0,600
water_outflow,0.9925245440818355,pL,0,600
