quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,156.87217709705752,fmol,60,600
positive_ae4_cl_loading,41.05550196187763,fmol,60,600
positive_ae2_cl_loading,0.0,fmol,60,600
signed_ae2_cl_flux,-0.41841963649377545,fmol,60,600
nkcc1_cycles,78.43608854852876,fmol,60,600
ae4_signed_cl_flux,41.05550196187763,fmol,60,600
ae4_na_cell_source,-20.527750980938816,fmol,60,600
ae4_k_cell_source,-20.527750980938816,fmol,60,600
ae4_tic_cell_source,-82.11100392375526,fmol,60,600
ae4_ta_cell_source,-82.11100392375526,fmol,60,600
ae4_hco3_cell_source,-82.11100392375526,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,39.11027319901622,fmol,60,600
nbc_bicarbonate_equivalent_influx,78.22054639803244,fmol,60,600
nbc_current_charge,3.773567698911014e-09,C,60,600
nhe1_flux,4.056564553635603,fmol,60,600
pump_cycles,32.721489102993985,fmol,60,600
cacc_cl_export,207.32726287100792,fmol,60,600
paracellular_cl_return,76.82345519369227,fmol,60,600
water_outflow,0.8837713607940972,pL,60,600
