quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,193.9302516759492,fmol,60,600
positive_ae4_cl_loading,0.0,fmol,60,600
positive_ae2_cl_loading,0.5128245939075059,fmol,60,600
signed_ae2_cl_flux,0.5128007391857556,fmol,60,600
nkcc1_cycles,96.9651258379746,fmol,60,600
ae4_signed_cl_flux,0.0,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,0.0,fmol,60,600
ae4_ta_cell_source,0.0,fmol,60,600
ae4_hco3_cell_source,0.0,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,5.3396683228697235,fmol,60,600
nbc_bicarbonate_equivalent_influx,10.679336645739447,fmol,60,600
nbc_current_charge,5.151996715427287e-10,C,60,600
nhe1_flux,1.7529559392504979,fmol,60,600
pump_cycles,33.545921962207274,fmol,60,600
cacc_cl_export,197.79921977271812,fmol,60,600
paracellular_cl_return,73.68022408342048,fmol,60,600
water_outflow,0.8426409594625237,pL,60,600
