time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s,cumulative_outflow_0_t_pL
0.0,0.0010704638771338593,12.141416370342608,116.11671305715426,59.46498148310999,5.85394830703124,5.07497631567593,6.91507995505158,1.437672416126905,301.4137236395735,-0.03186128792220322,-0.06726070064723136,-0.03539941272502814,0.0,0.0,0.0,1.0,0.007547670587330961,0.25038965964195203,0.0,-0.001883199604167333,0.2579373302292831,0.10177863401129172,0.12519482982097602,1.0,4985246.788846309,0.0,0.047391123533268346,0.0,-0.0,0.0,-0.0,-0.0,0.0020917702155408544,-0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0
1e-06,0.0010704638771338593,12.141416370342608,116.11671305715426,59.46498148310999,5.85394830703124,5.07497631567593,6.91507995505158,1.437672416126905,301.4137236395735,-0.027823466462334395,-0.08026305799024212,-0.052439591527907725,1.0,0.09919396422801975,9.570762582839886e-12,2.3,0.017359642350861206,0.43818190437341603,0.0,-0.001883199604167333,0.6068212626389686,0.14593088603879809,0.21909095218670802,1.75,4985246.788846309,0.1983879284560395,0.047391123533268346,0.0,-0.0,0.0,-0.0,-0.0,0.0020917702155408544,-0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.0704638771338593e-09
1.0,0.0013784866813960962,12.272213004688608,116.01245766793288,59.34946291584809,5.9968873002910525,5.201936957924065,6.917003236652452,1.4378509368075023,301.83347359895987,-0.027723797564875145,-0.08022615109906112,-0.052502353534185975,1.0,0.09826989539550937,9.48160349463338e-12,2.3,0.01710185153345456,0.43139650764198795,0.0,-0.0018257328587376765,0.5722892317959813,0.14626667465030938,0.21569825382099397,1.75,5014886.38267391,0.19653979079101874,0.047936310298437645,0.0,-0.0,0.0,-0.0,-0.0,0.002153616259139792,-0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0012244751252535756
5.0,0.00199073533340679,12.739707961359723,115.59784711903205,58.93885754529128,6.543043262659909,5.688640708766781,6.9245658154524605,1.4404190398265702,301.7168886764733,-0.027489005391356795,-0.08008701105664406,-0.05259800566528727,1.0,0.09454664642809509,9.122364581446967e-12,2.3,0.016142000957387413,0.4088114053736245,0.0,-0.0016133300008698372,0.49348616322999933,0.14671718439260528,0.20440570268681224,1.75,5115789.252248721,0.18909329285619017,0.04979414052936172,0.0,-0.0,0.0,-0.0,-0.0,0.0023964828219218796,-0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.008239184311398392
10.0,0.0020622458019047885,13.236261638440887,115.18293606299908,58.52183752898012,7.181974756362127,6.260991329439037,6.933663250782063,1.444553300121654,301.64715812555863,-0.027446170721860827,-0.0799537150218905,-0.05250754430002967,1.0,0.0898049759072744,8.66486292644197e-12,2.3,0.015076059773473417,0.3859846765834601,0.0,-0.0013790259525260492,0.446408883420295,0.14665181109501302,0.19299233829173004,1.75,5221429.230014221,0.1796099518145488,0.05161911854290112,0.0,-0.0,0.0,-0.0,-0.0,0.002693434093571608,-0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.01851589903307605
15.0,0.001959051851047919,13.657803976988783,114.8454622800382,58.15242253660802,7.777767018650666,6.797502184040491,6.94232960795397,1.4487970882010013,301.6108788457923,-0.02750420733038868,-0.07984197773385311,-0.052337770403464434,1.0,0.0850588406544679,8.206930490288493e-12,2.3,0.014135635930815313,0.36863033819477287,0.0,-0.0011721010375740882,0.42200217115309646,0.14632386123472976,0.18431516909738643,1.75,5304327.596721026,0.1701176813089358,0.05305459739451416,0.0,-0.0,0.0,-0.0,-0.0,0.0029831765999067342,-0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.028587257328646802
20.0,0.00185285410692268,14.02068275574201,114.56344336760378,57.80714572040503,8.334063521325689,7.300866642655677,6.950566096723341,1.452805456062146,301.59020112595664,-0.02760438951169156,-0.07974235997583991,-0.05213797046414835,1.0,0.0803882431659094,7.756286340406089e-12,2.3,0.013300486853161545,0.35570606484475903,0.0,-0.000987670020811382,0.40815679794752646,0.14588031210069635,0.17785303242237951,1.75,5367576.880907781,0.1607764863318188,0.05421085966413928,0.0,-0.0,0.0,-0.0,-0.0,0.0032654310080539382,-0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.038107337119643696
25.0,0.0017755221648254134,14.336603682290566,114.32331912163984,57.477084286759805,8.85365606397791,7.773144180377818,6.958392311175898,1.4564658673951236,301.5776543655499,-0.027723062191358033,-0.07965080852215975,-0.051927746330801716,1.0,0.0758523599810832,7.31864014486061e-12,2.3,0.012554187053543416,0.3462590831935229,0.0,-0.0008222707745266692,0.3998001972302851,0.14538355094719027,0.17312954159676144,1.75,5414652.160866033,0.1517047199621664,0.055160514488929016,0.0,-0.0,0.0,-0.0,-0.0,0.00353988403101567,-0.0,0.0,0.0,0.0,0.0,0.0471663044654749
30.0,0.0017245351570332663,14.614278022401255,114.11602806175208,57.15906037774367,9.338955004808632,8.216142031363274,6.965835262329021,1.4597585100298671,301.56957725823077,-0.027848896776407443,-0.07956550170552745,-0.05171660492912001,1.0,0.07149207122057481,6.897936235663855e-12,2.3,0.011883370625477603,0.33951277454445256,0.0,-0.000673256377893425,0.3944458121267503,0.1448660572430318,0.16975638727222628,1.75,5448716.026010748,0.14298414244114963,0.05595336342867043,0.0,-0.0,0.0,-0.0,-0.0,0.003806301626811014,-0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.05590753186670046
35.0,0.0016917583862721853,14.860352392408418,113.93519797574427,56.85229714648106,9.792162705443323,8.631547426703087,6.972923975134046,1.4627026434495116,301.5640414350903,-0.027976023683596897,-0.07948562907881478,-0.05150960539521788,1.0,0.06733331193735076,6.4966769650148496e-12,2.3,0.011277126319326843,0.33485290860054556,0.0,-0.0005385125092763827,0.39078390037059413,0.14434647351851698,0.16742645430027278,1.75,5472465.774062261,0.13466662387470152,0.05662462555746911,0.0,-0.0,0.0,-0.0,-0.0,0.004064551552535044,-0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.06444251411644632
