quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,20.940521892639314,fmol,0,60
positive_ae4_cl_loading,0.20516466528850844,fmol,0,60
positive_ae2_cl_loading,0.0,fmol,0,60
signed_ae2_cl_flux,-0.05122933524579993,fmol,0,60
nkcc1_cycles,10.470260946319657,fmol,0,60
ae4_signed_cl_flux,0.20516466528850844,fmol,0,60
ae4_na_cell_source,0.0,fmol,0,60
ae4_k_cell_source,-0.20516466528850844,fmol,0,60
ae4_tic_cell_source,-0.41032933057701687,fmol,0,60
ae4_ta_cell_source,-0.41032933057701687,fmol,0,60
ae4_hco3_cell_source,-0.41032933057701687,fmol,0,60
ae4_co3_cell_source,0.0,fmol,0,60
nbc_cycles,4.494511962508544,fmol,0,60
nbc_bicarbonate_equivalent_influx,8.989023925017088,fmol,0,60
nbc_current_charge,4.3365447941995004e-10,C,0,60
nhe1_flux,0.7674477534269851,fmol,0,60
pump_cycles,3.239637327308902,fmol,0,60
cacc_cl_export,25.11761420587206,fmol,0,60
paracellular_cl_return,8.746232750719601,fmol,0,60
water_outflow,0.10688951970058883,pL,0,60
positive_nkcc1_cl_loading,187.92816104827085,fmol,60,600
positive_ae4_cl_loading,4.297291827809022,fmol,60,600
positive_ae2_cl_loading,0.4356626244423808,fmol,60,600
signed_ae2_cl_flux,0.4351990398200408,fmol,60,600
nkcc1_cycles,93.96408052413543,fmol,60,600
ae4_signed_cl_flux,4.297291827809022,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,-4.297291827809022,fmol,60,600
ae4_tic_cell_source,-8.594583655618043,fmol,60,600
ae4_ta_cell_source,-8.594583655618043,fmol,60,600
ae4_hco3_cell_source,-8.594583655618043,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,8.577673905913823,fmol,60,600
nbc_bicarbonate_equivalent_influx,17.155347811827646,fmol,60,600
nbc_current_charge,8.276197156291527e-10,C,60,600
nhe1_flux,1.909733025269661,fmol,60,600
pump_cycles,33.55013460140751,fmol,60,600
cacc_cl_export,198.5385530640283,fmol,60,600
paracellular_cl_return,73.94817407081264,fmol,60,600
water_outflow,0.8457762324784719,pL,60,600
positive_nkcc1_cl_loading,208.86868294091016,fmol,0,600
positive_ae4_cl_loading,4.502456493097531,fmol,0,600
positive_ae2_cl_loading,0.4356626244423808,fmol,0,600
signed_ae2_cl_flux,0.3839697045742409,fmol,0,600
nkcc1_cycles,104.43434147045508,fmol,0,600
ae4_signed_cl_flux,4.502456493097531,fmol,0,600
ae4_na_cell_source,0.0,fmol,0,600
ae4_k_cell_source,-4.502456493097531,fmol,0,600
ae4_tic_cell_source,-9.004912986195063,fmol,0,600
ae4_ta_cell_source,-9.004912986195063,fmol,0,600
ae4_hco3_cell_source,-9.004912986195063,fmol,0,600
ae4_co3_cell_source,0.0,fmol,0,600
nbc_cycles,13.072185868422366,fmol,0,600
nbc_bicarbonate_equivalent_influx,26.144371736844732,fmol,0,600
nbc_current_charge,1.2612741950491026e-09,C,0,600
nhe1_flux,2.6771807786966466,fmol,0,600
pump_cycles,36.789771928716405,fmol,0,600
cacc_cl_export,223.65616726990038,fmol,0,600
paracellular_cl_return,82.69440682153224,fmol,0,600
water_outflow,0.9526657521790609,pL,0,600
