quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,21.053588042306373,fmol,0,60
positive_ae4_cl_loading,0.0,fmol,0,60
positive_ae2_cl_loading,0.0,fmol,0,60
signed_ae2_cl_flux,-0.0498564453017299,fmol,0,60
nkcc1_cycles,10.526794021153187,fmol,0,60
ae4_signed_cl_flux,0.0,fmol,0,60
ae4_na_cell_source,0.0,fmol,0,60
ae4_k_cell_source,0.0,fmol,0,60
ae4_tic_cell_source,0.0,fmol,0,60
ae4_ta_cell_source,0.0,fmol,0,60
ae4_hco3_cell_source,0.0,fmol,0,60
ae4_co3_cell_source,0.0,fmol,0,60
nbc_cycles,4.45594835272241,fmol,0,60
nbc_bicarbonate_equivalent_influx,8.91189670544482,fmol,0,60
nbc_current_charge,4.299336567219887e-10,C,0,60
nhe1_flux,0.7640156612928766,fmol,0,60
pump_cycles,3.239227516562793,fmol,0,60
cacc_cl_export,25.09871667721668,fmol,0,60
paracellular_cl_return,8.741964169658104,fmol,0,60
water_outflow,0.1068145463404446,pL,0,60
positive_nkcc1_cl_loading,193.42246880217135,fmol,60,600
positive_ae4_cl_loading,0.0,fmol,60,600
positive_ae2_cl_loading,0.5111950909328269,fmol,60,600
signed_ae2_cl_flux,0.5110521285390336,fmol,60,600
nkcc1_cycles,96.71123440108568,fmol,60,600
ae4_signed_cl_flux,0.0,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,0.0,fmol,60,600
ae4_ta_cell_source,0.0,fmol,60,600
ae4_hco3_cell_source,0.0,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,5.406596998037765,fmol,60,600
nbc_bicarbonate_equivalent_influx,10.81319399607553,fmol,60,600
nbc_current_charge,5.216573069946689e-10,C,60,600
nhe1_flux,1.7694442837929338,fmol,60,600
pump_cycles,33.40309034626725,fmol,60,600
cacc_cl_export,198.39824740244197,fmol,60,600
paracellular_cl_return,73.85562376034406,fmol,60,600
water_outflow,0.8455256052282409,pL,60,600
positive_nkcc1_cl_loading,214.47605684447774,fmol,0,600
positive_ae4_cl_loading,0.0,fmol,0,600
positive_ae2_cl_loading,0.5111950909328269,fmol,0,600
signed_ae2_cl_flux,0.46119568323730376,fmol,0,600
nkcc1_cycles,107.23802842223887,fmol,0,600
ae4_signed_cl_flux,0.0,fmol,0,600
ae4_na_cell_source,0.0,fmol,0,600
ae4_k_cell_source,0.0,fmol,0,600
ae4_tic_cell_source,0.0,fmol,0,600
ae4_ta_cell_source,0.0,fmol,0,600
ae4_hco3_cell_source,0.0,fmol,0,600
ae4_co3_cell_source,0.0,fmol,0,600
nbc_cycles,9.862545350760177,fmol,0,600
nbc_bicarbonate_equivalent_influx,19.725090701520354,fmol,0,600
nbc_current_charge,9.515909637166577e-10,C,0,600
nhe1_flux,2.53345994508581,fmol,0,600
pump_cycles,36.64231786283004,fmol,0,600
cacc_cl_export,223.49696407965865,fmol,0,600
paracellular_cl_return,82.59758793000216,fmol,0,600
water_outflow,0.9523401515686856,pL,0,600
