quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,140.5801708053313,fmol,60,600
positive_ae4_cl_loading,40.23967108172401,fmol,60,600
positive_ae2_cl_loading,0.0,fmol,60,600
signed_ae2_cl_flux,-0.3988775142273201,fmol,60,600
nkcc1_cycles,70.29008540266565,fmol,60,600
ae4_signed_cl_flux,40.23967108172401,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,-40.23967108172401,fmol,60,600
ae4_tic_cell_source,-80.47934216344802,fmol,60,600
ae4_ta_cell_source,-80.47934216344802,fmol,60,600
ae4_hco3_cell_source,-80.47934216344802,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,37.75960050193284,fmol,60,600
nbc_bicarbonate_equivalent_influx,75.51920100386567,fmol,60,600
nbc_current_charge,3.643247595147509e-09,C,60,600
nhe1_flux,3.9946471837529636,fmol,60,600
pump_cycles,35.05780332695855,fmol,60,600
cacc_cl_export,197.64379930814385,fmol,60,600
paracellular_cl_return,74.2244370246286,fmol,60,600
water_outflow,0.8375450129037905,pL,60,600
