quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,191.12399656733896,fmol,60,600
positive_ae4_cl_loading,4.305689861815527,fmol,60,600
positive_ae2_cl_loading,0.4344954443725335,fmol,60,600
signed_ae2_cl_flux,0.4339147173060216,fmol,60,600
nkcc1_cycles,95.56199828366948,fmol,60,600
ae4_signed_cl_flux,4.305689861815527,fmol,60,600
ae4_na_cell_source,-4.305689861815527,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,-8.611379723631053,fmol,60,600
ae4_ta_cell_source,-8.611379723631053,fmol,60,600
ae4_hco3_cell_source,-8.611379723631053,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,8.879141883906847,fmol,60,600
nbc_bicarbonate_equivalent_influx,17.758283767813694,fmol,60,600
nbc_current_charge,8.567069536093547e-10,C,60,600
nhe1_flux,1.8955580223045931,fmol,60,600
pump_cycles,32.92376714011422,fmol,60,600
cacc_cl_export,200.80949842736865,fmol,60,600
paracellular_cl_return,74.5689726872926,fmol,60,600
water_outflow,0.8566375287365917,pL,60,600
