quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,20.894839646399102,fmol,0,60
positive_ae4_cl_loading,2.9492373465335544,fmol,0,60
positive_ae2_cl_loading,0.0,fmol,0,60
signed_ae2_cl_flux,-0.07370068984778831,fmol,0,60
nkcc1_cycles,10.447419823199551,fmol,0,60
ae4_signed_cl_flux,2.9492373465335544,fmol,0,60
ae4_na_cell_source,-2.9492373465335544,fmol,0,60
ae4_k_cell_source,0.0,fmol,0,60
ae4_tic_cell_source,-5.898474693067109,fmol,0,60
ae4_ta_cell_source,-5.898474693067109,fmol,0,60
ae4_hco3_cell_source,-5.898474693067109,fmol,0,60
ae4_co3_cell_source,0.0,fmol,0,60
nbc_cycles,5.1152987207833585,fmol,0,60
nbc_bicarbonate_equivalent_influx,10.230597441566717,fmol,0,60
nbc_current_charge,4.935512959677935e-10,C,0,60
nhe1_flux,0.8283569365584719,fmol,0,60
pump_cycles,3.088565389964418,fmol,0,60
cacc_cl_export,25.729812856296917,fmol,0,60
paracellular_cl_return,8.881384639236435,fmol,0,60
water_outflow,0.10954675608350148,pL,0,60
positive_nkcc1_cl_loading,173.38914546149854,fmol,60,600
positive_ae4_cl_loading,41.66773919475404,fmol,60,600
positive_ae2_cl_loading,0.0,fmol,60,600
signed_ae2_cl_flux,-0.4356366678276352,fmol,60,600
nkcc1_cycles,86.69457273074927,fmol,60,600
ae4_signed_cl_flux,41.66773919475404,fmol,60,600
ae4_na_cell_source,-41.66773919475404,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,-83.33547838950808,fmol,60,600
ae4_ta_cell_source,-83.33547838950808,fmol,60,600
ae4_hco3_cell_source,-83.33547838950808,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,40.3343554147583,fmol,60,600
nbc_bicarbonate_equivalent_influx,80.6687108295166,fmol,60,600
nbc_current_charge,3.891673678039076e-09,C,60,600
nhe1_flux,4.07844345461945,fmol,60,600
pump_cycles,29.69856314304584,fmol,60,600
cacc_cl_export,216.06329636833772,fmol,60,600
paracellular_cl_return,79.0975882137765,fmol,60,600
water_outflow,0.925977824781932,pL,60,600
positive_nkcc1_cl_loading,194.28398510789765,fmol,0,600
positive_ae4_cl_loading,44.6169765412876,fmol,0,600
positive_ae2_cl_loading,0.0,fmol,0,600
signed_ae2_cl_flux,-0.5093373576754235,fmol,0,600
nkcc1_cycles,97.14199255394882,fmol,0,600
ae4_signed_cl_flux,44.6169765412876,fmol,0,600
ae4_na_cell_source,-44.6169765412876,fmol,0,600
ae4_k_cell_source,0.0,fmol,0,600
ae4_tic_cell_source,-89.2339530825752,fmol,0,600
ae4_ta_cell_source,-89.2339530825752,fmol,0,600
ae4_hco3_cell_source,-89.2339530825752,fmol,0,600
ae4_co3_cell_source,0.0,fmol,0,600
nbc_cycles,45.44965413554166,fmol,0,600
nbc_bicarbonate_equivalent_influx,90.89930827108331,fmol,0,600
nbc_current_charge,4.385224974006869e-09,C,0,600
nhe1_flux,4.906800391177921,fmol,0,600
pump_cycles,32.78712853301026,fmol,0,600
cacc_cl_export,241.79310922463463,fmol,0,600
paracellular_cl_return,87.97897285301292,fmol,0,600
water_outflow,1.0355245808654334,pL,0,600
