quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,173.38914546149854,fmol,60,600
positive_ae4_cl_loading,41.66773919475404,fmol,60,600
positive_ae2_cl_loading,0.0,fmol,60,600
signed_ae2_cl_flux,-0.4356366678276352,fmol,60,600
nkcc1_cycles,86.69457273074927,fmol,60,600
ae4_signed_cl_flux,41.66773919475404,fmol,60,600
ae4_na_cell_source,-41.66773919475404,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,-83.33547838950808,fmol,60,600
ae4_ta_cell_source,-83.33547838950808,fmol,60,600
ae4_hco3_cell_source,-83.33547838950808,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,40.3343554147583,fmol,60,600
nbc_bicarbonate_equivalent_influx,80.6687108295166,fmol,60,600
nbc_current_charge,3.891673678039076e-09,C,60,600
nhe1_flux,4.07844345461945,fmol,60,600
pump_cycles,29.69856314304584,fmol,60,600
cacc_cl_export,216.06329636833772,fmol,60,600
paracellular_cl_return,79.0975882137765,fmol,60,600
water_outflow,0.925977824781932,pL,60,600
