quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,187.67615818101777,fmol,60,600
positive_ae4_cl_loading,4.323400882760694,fmol,60,600
positive_ae2_cl_loading,0.4494972424232939,fmol,60,600
signed_ae2_cl_flux,0.4491540556790048,fmol,60,600
nkcc1_cycles,93.83807909050888,fmol,60,600
ae4_signed_cl_flux,4.323400882760694,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,-4.323400882760694,fmol,60,600
ae4_tic_cell_source,-4.323400882760694,fmol,60,600
ae4_ta_cell_source,-8.646801765521388,fmol,60,600
ae4_hco3_cell_source,0.0,fmol,60,600
ae4_co3_cell_source,-4.323400882760694,fmol,60,600
nbc_cycles,7.909472995206169,fmol,60,600
nbc_bicarbonate_equivalent_influx,15.818945990412338,fmol,60,600
nbc_current_charge,7.631481288366384e-10,C,60,600
nhe1_flux,3.025824402578685,fmol,60,600
pump_cycles,33.70178446192197,fmol,60,600
cacc_cl_export,197.73290204707808,fmol,60,600
paracellular_cl_return,73.68048444613851,fmol,60,600
water_outflow,0.842762467516247,pL,60,600
