quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,193.13754211879558,fmol,60,600
positive_ae4_cl_loading,0.0,fmol,60,600
positive_ae2_cl_loading,0.5069475826501489,fmol,60,600
signed_ae2_cl_flux,0.5067984950733269,fmol,60,600
nkcc1_cycles,96.56877105939779,fmol,60,600
ae4_signed_cl_flux,0.0,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,0.0,fmol,60,600
ae4_ta_cell_source,0.0,fmol,60,600
ae4_hco3_cell_source,0.0,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,5.563129183072684,fmol,60,600
nbc_bicarbonate_equivalent_influx,11.126258366145368,fmol,60,600
nbc_current_charge,5.367603668552323e-10,C,60,600
nhe1_flux,2.0837135220821046,fmol,60,600
pump_cycles,33.55870334398758,fmol,60,600
cacc_cl_export,197.77737967006618,fmol,60,600
paracellular_cl_return,73.67549244975085,fmol,60,600
water_outflow,0.8426612296464306,pL,60,600
