quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,20.595130554541367,fmol,0,60
positive_ae4_cl_loading,0.20648458123293864,fmol,0,60
positive_ae2_cl_loading,0.0,fmol,0,60
signed_ae2_cl_flux,-0.051226837930836884,fmol,0,60
nkcc1_cycles,10.297565277270683,fmol,0,60
ae4_signed_cl_flux,0.20648458123293864,fmol,0,60
ae4_na_cell_source,-0.20648458123293864,fmol,0,60
ae4_k_cell_source,0.0,fmol,0,60
ae4_tic_cell_source,-0.20648458123293864,fmol,0,60
ae4_ta_cell_source,-0.4129691624658773,fmol,0,60
ae4_hco3_cell_source,0.0,fmol,0,60
ae4_co3_cell_source,-0.20648458123293864,fmol,0,60
nbc_cycles,4.489851749475138,fmol,0,60
nbc_bicarbonate_equivalent_influx,8.979703498950276,fmol,0,60
nbc_current_charge,4.332048372176718e-10,C,0,60
nhe1_flux,1.0707610797214169,fmol,0,60
pump_cycles,3.1983415195201363,fmol,0,60
cacc_cl_export,25.26083956852794,fmol,0,60
paracellular_cl_return,8.779211747230608,fmol,0,60
water_outflow,0.10763943593868879,pL,0,60
positive_nkcc1_cl_loading,190.78046702355584,fmol,60,600
positive_ae4_cl_loading,4.333397402359703,fmol,60,600
positive_ae2_cl_loading,0.4484423924106654,fmol,60,600
signed_ae2_cl_flux,0.4479674787637636,fmol,60,600
nkcc1_cycles,95.39023351177792,fmol,60,600
ae4_signed_cl_flux,4.333397402359703,fmol,60,600
ae4_na_cell_source,-4.333397402359703,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,-4.333397402359703,fmol,60,600
ae4_ta_cell_source,-8.666794804719405,fmol,60,600
ae4_hco3_cell_source,0.0,fmol,60,600
ae4_co3_cell_source,-4.333397402359703,fmol,60,600
nbc_cycles,8.210685696401375,fmol,60,600
nbc_bicarbonate_equivalent_influx,16.42137139280275,fmol,60,600
nbc_current_charge,7.922107363502204e-10,C,60,600
nhe1_flux,2.9971485526546706,fmol,60,600
pump_cycles,33.026576232758956,fmol,60,600
cacc_cl_export,200.24327346654312,fmol,60,600
paracellular_cl_return,74.37091036545317,fmol,60,600
water_outflow,0.8547759260213871,pL,60,600
positive_nkcc1_cl_loading,211.37559757809717,fmol,0,600
positive_ae4_cl_loading,4.539881983592641,fmol,0,600
positive_ae2_cl_loading,0.4484423924106654,fmol,0,600
signed_ae2_cl_flux,0.3967406408329267,fmol,0,600
nkcc1_cycles,105.68779878904859,fmol,0,600
ae4_signed_cl_flux,4.539881983592641,fmol,0,600
ae4_na_cell_source,-4.539881983592641,fmol,0,600
ae4_k_cell_source,0.0,fmol,0,600
ae4_tic_cell_source,-4.539881983592641,fmol,0,600
ae4_ta_cell_source,-9.079763967185283,fmol,0,600
ae4_hco3_cell_source,0.0,fmol,0,600
ae4_co3_cell_source,-4.539881983592641,fmol,0,600
nbc_cycles,12.700537445876515,fmol,0,600
nbc_bicarbonate_equivalent_influx,25.40107489175303,fmol,0,600
nbc_current_charge,1.2254155735678922e-09,C,0,600
nhe1_flux,4.067909632376088,fmol,0,600
pump_cycles,36.2249177522791,fmol,0,600
cacc_cl_export,225.50411303507104,fmol,0,600
paracellular_cl_return,83.15012211268379,fmol,0,600
water_outflow,0.9624153619600759,pL,0,600
