quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,20.5755886645923,fmol,0,60
positive_ae4_cl_loading,0.0,fmol,0,60
positive_ae2_cl_loading,0.0,fmol,0,60
signed_ae2_cl_flux,-0.05031686684117823,fmol,0,60
nkcc1_cycles,10.28779433229615,fmol,0,60
ae4_signed_cl_flux,0.0,fmol,0,60
ae4_na_cell_source,0.0,fmol,0,60
ae4_k_cell_source,0.0,fmol,0,60
ae4_tic_cell_source,0.0,fmol,0,60
ae4_ta_cell_source,0.0,fmol,0,60
ae4_hco3_cell_source,0.0,fmol,0,60
ae4_co3_cell_source,0.0,fmol,0,60
nbc_cycles,4.460596087805151,fmol,0,60
nbc_bicarbonate_equivalent_influx,8.921192175610303,fmol,0,60
nbc_current_charge,4.303820949850528e-10,C,0,60
nhe1_flux,1.0506912789114167,fmol,0,60
pump_cycles,3.2042401723309073,fmol,0,60
cacc_cl_export,25.236635870496748,fmol,0,60
paracellular_cl_return,8.774471435572815,fmol,0,60
water_outflow,0.1075311583759309,pL,0,60
positive_nkcc1_cl_loading,192.57376125448508,fmol,60,600
positive_ae4_cl_loading,0.0,fmol,60,600
positive_ae2_cl_loading,0.5077528273806983,fmol,60,600
signed_ae2_cl_flux,0.5075211531863879,fmol,60,600
nkcc1_cycles,96.28688062724254,fmol,60,600
ae4_signed_cl_flux,0.0,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,0.0,fmol,60,600
ae4_ta_cell_source,0.0,fmol,60,600
ae4_hco3_cell_source,0.0,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,5.528272954673755,fmol,60,600
nbc_bicarbonate_equivalent_influx,11.05654590934751,fmol,60,600
nbc_current_charge,5.33397252081711e-10,C,60,600
nhe1_flux,2.0619197669288583,fmol,60,600
pump_cycles,33.361762992529734,fmol,60,600
cacc_cl_export,198.59559146485765,fmol,60,600
paracellular_cl_return,73.91128821855172,fmol,60,600
water_outflow,0.8466000743575492,pL,60,600
positive_nkcc1_cl_loading,213.1493499190774,fmol,0,600
positive_ae4_cl_loading,0.0,fmol,0,600
positive_ae2_cl_loading,0.5077528273806984,fmol,0,600
signed_ae2_cl_flux,0.4572042863452097,fmol,0,600
nkcc1_cycles,106.5746749595387,fmol,0,600
ae4_signed_cl_flux,0.0,fmol,0,600
ae4_na_cell_source,0.0,fmol,0,600
ae4_k_cell_source,0.0,fmol,0,600
ae4_tic_cell_source,0.0,fmol,0,600
ae4_ta_cell_source,0.0,fmol,0,600
ae4_hco3_cell_source,0.0,fmol,0,600
ae4_co3_cell_source,0.0,fmol,0,600
nbc_cycles,9.988869042478909,fmol,0,600
nbc_bicarbonate_equivalent_influx,19.977738084957817,fmol,0,600
nbc_current_charge,9.63779347066764e-10,C,0,600
nhe1_flux,3.112611045840275,fmol,0,600
pump_cycles,36.566003164860646,fmol,0,600
cacc_cl_export,223.8322273353544,fmol,0,600
paracellular_cl_return,82.68575965412454,fmol,0,600
water_outflow,0.9541312327334803,pL,0,600
