quantity,value,unit,window_start_s,window_end_s
positive_nkcc1_cl_loading,192.57376125448508,fmol,60,600
positive_ae4_cl_loading,0.0,fmol,60,600
positive_ae2_cl_loading,0.5077528273806983,fmol,60,600
signed_ae2_cl_flux,0.5075211531863879,fmol,60,600
nkcc1_cycles,96.28688062724254,fmol,60,600
ae4_signed_cl_flux,0.0,fmol,60,600
ae4_na_cell_source,0.0,fmol,60,600
ae4_k_cell_source,0.0,fmol,60,600
ae4_tic_cell_source,0.0,fmol,60,600
ae4_ta_cell_source,0.0,fmol,60,600
ae4_hco3_cell_source,0.0,fmol,60,600
ae4_co3_cell_source,0.0,fmol,60,600
nbc_cycles,5.528272954673755,fmol,60,600
nbc_bicarbonate_equivalent_influx,11.05654590934751,fmol,60,600
nbc_current_charge,5.33397252081711e-10,C,60,600
nhe1_flux,2.0619197669288583,fmol,60,600
pump_cycles,33.361762992529734,fmol,60,600
cacc_cl_export,198.59559146485765,fmol,60,600
paracellular_cl_return,73.91128821855172,fmol,60,600
water_outflow,0.8466000743575492,pL,60,600
