time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_cl_source_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,co3_i_mM,ae4_hco3_cell_source_fmol_s,ae4_co3_cell_source_fmol_s,source_signature_residual_fmol_s,ae4_charge_residual_fmol_s,cell_balance_residual_fmol_s
0.0,0.0010799400042899477,11.40177146832681,116.64434335982212,60.99517069248227,5.946774383294407,5.031264112357434,6.840843854589356,1.456772585234196,301.4159555914522,-0.031242021389299213,-0.06691156015199645,-0.03566953876269724,0.0,0.0,0.0,1.0,0.011296389505623372,0.25532364899507004,0.00662609118301509,-0.0019557928604068717,0.25999394731767683,0.10247071016134802,0.12766182449753502,1.0,4947968.391269685,0.0,0.04411070760671444,-0.00662609118301509,0.0,0.00662609118301509,-0.00662609118301509,-0.01325218236603018,0.0017479176608417202,0.0,-0.00662609118301509,0.0,0.0,1.0842021724855044e-19
1e-06,0.0010799400042899477,11.40177146832681,116.64434335982212,60.99517069248227,5.946774383294407,5.031264112357434,6.840843854589356,1.456772585234196,301.4159555914522,-0.027185361887705508,-0.08026093363103143,-0.05307557174332592,1.0,0.10038295513386301,9.685482765277833e-12,2.3,0.02598169586293375,0.4468163857413725,0.00662609118301509,-0.0019557928604068717,0.6137708394713931,0.14757091502715233,0.22340819287068625,1.75,4947968.391269685,0.20076591026772603,0.04411070760671444,-0.00662609118301509,0.0,0.00662609118301509,-0.00662609118301509,-0.01325218236603018,0.0017479176608417202,0.0,-0.00662609118301509,0.0,0.0,2.7755575615628914e-17
1.0,0.0013924387630082553,11.541373558726294,116.53276159069719,60.88642397526201,6.082056588981132,5.149823011957316,6.843106205735747,1.4569568050601454,301.84245036608263,-0.027086220124343138,-0.0802255632320045,-0.05313934310766136,1.0,0.09954033030065497,9.604181828393196e-12,2.3,0.025598998270225673,0.4380239282356433,0.009365112652182525,-0.0019024368314981342,0.5798153265548324,0.14791231801550192,0.21901196411782164,1.75,4985933.382144552,0.19908066060130994,0.04475856744709592,-0.009365112652182525,0.0,0.009365112652182525,-0.009365112652182525,-0.01873022530436505,0.001798450584314081,0.0,-0.009365112652182525,0.0,0.0,5.551115123125783e-17
5.0,0.0020205458908182706,12.02222488731691,116.09701001295741,60.51210536384629,6.582006723894202,5.587395135064521,6.850423225417413,1.459367536826887,301.726169770302,-0.026838797744225113,-0.08009322559289492,-0.05325442784866981,1.0,0.09627971101588845,9.289579893785619e-12,2.3,0.024367223979592907,0.4099059060571872,0.01946673278788162,-0.001711831514029096,0.5020127346570435,0.1484177692694469,0.2049529530285936,1.75,5110817.9248408545,0.1925594220317769,0.04689121178282434,-0.01946673278788162,0.0,0.01946673278788162,-0.01946673278788162,-0.03893346557576324,0.001984415500675105,0.0,-0.01946673278788162,0.0,0.0,2.7755575615628914e-17
10.0,0.0021029002062263407,12.49573669883014,115.67291144341327,60.169167824371,7.133600535709767,6.067570963780001,6.856136065347159,1.4629951390637352,301.65621986643794,-0.02676286442707748,-0.07997234160838332,-0.053209477181305836,1.0,0.09243204966168839,8.918337010140339e-12,2.3,0.02336659547174619,0.38355690941279436,0.03050071453051552,-0.0015144855931362542,0.45547139259367025,0.14847391582326397,0.19177845470639718,1.75,5232889.236293468,0.18486409932337677,0.048844889160210125,-0.03050071453051552,0.0,0.03050071453051552,-0.03050071453051552,-0.06100142906103104,0.0021834886045119088,0.0,-0.03050071453051552,0.0,0.0,2.7755575615628914e-17
15.0,0.0020054808856331016,12.862290939789851,115.33883490632367,59.905260717722264,7.616378608717432,6.483843932157413,6.858681988243676,1.4665332050743038,301.62009075082403,-0.026773649242114523,-0.07987740708331308,-0.05310375784119856,1.0,0.08890753154460689,8.578272709050772e-12,2.3,0.022823728902247282,0.3646174300848284,0.0399841184257123,-0.0013521646292640732,0.43163397061774145,0.1483142887377114,0.1823087150424142,1.75,5323825.526615332,0.17781506308921377,0.050260375972440256,-0.0399841184257123,0.0,0.0399841184257123,-0.0399841184257123,-0.0799682368514246,0.0023470078434270607,0.0,-0.0399841184257123,0.0,0.0,4.163336342344337e-17
20.0,0.001903515181317786,13.147782836609068,115.06773740567726,59.69297750338534,8.04055372995521,6.844883357806801,6.858655417697244,1.469727191590478,301.60000005103586,-0.026814822050819195,-0.07979825620577997,-0.052983434154960776,1.0,0.0857384383868915,8.272501703209384e-12,2.3,0.02263120080115816,0.35102916531219436,0.048119295607268034,-0.0012173615785469499,0.4185225778094114,0.14807830012294315,0.17551458265609718,1.75,5390792.060805917,0.171476876773783,0.0513060844379625,-0.048119295607268034,0.0,0.048119295607268034,-0.048119295607268034,-0.09623859121453607,0.0024775445329510903,0.0,-0.048119295607268034,0.0,0.0,4.163336342344337e-17
25.0,0.001830358542259164,13.37091958453871,114.84251972945385,59.51856991725287,8.414368802180359,7.157972129395854,6.856555398179017,1.4725203521275934,301.58838397627534,-0.026864714284490734,-0.07972987995232388,-0.05286516566783314,1.0,0.08292690972477243,8.001230426479926e-12,2.3,0.022711852915789265,0.3413059610529781,0.05508798612552368,-0.0011046626251484057,0.4110516943998584,0.14782097260928306,0.17065298052648906,1.75,5439625.047101266,0.16585381944954486,0.0520897936583844,-0.05508798612552368,0.0,0.05508798612552368,-0.05508798612552368,-0.11017597225104736,0.0025783709608443173,0.0,-0.05508798612552368,0.0,0.0,2.7755575615628914e-17
30.0,0.0017839421114661887,13.54565269699865,114.65162647484155,59.3741129370608,8.744687454640516,7.429371356045606,6.852798818007935,1.474928738738778,301.58147532598133,-0.026913833021292015,-0.0796695069026153,-0.05275567388132329,1.0,0.08045694937567476,7.762915481874006e-12,2.3,0.023008492307497155,0.3343816560489574,0.0610513032759078,-0.001009986726405361,0.40669355571727067,0.14756770224379775,0.1671908280244787,1.75,5474877.734328973,0.1609138987513495,0.05268342868738604,-0.0610513032759078,0.0,0.0610513032759078,-0.0610513032759078,-0.1221026065518156,0.002653083294613045,0.0,-0.0610513032759078,0.0,0.0,2.7755575615628914e-17
35.0,0.0017561559912246368,13.682602539389682,114.48692400188854,59.25450311834942,9.037305957067339,7.664504626063484,6.847733085893462,1.4769948548380831,301.5772563533026,-0.02695799619271024,-0.07961548387633785,-0.05265748768362761,1.0,0.07830277205726072,7.555068967861457e-12,2.3,0.02347734074017334,0.3294835126176652,0.06615008259709877,-0.0009301727814544024,0.4040971937875868,0.1473306397659507,0.1647417563088326,1.75,5500058.640599926,0.15660554411452143,0.053136636016577754,-0.06615008259709877,0.0,0.06615008259709877,-0.06615008259709877,-0.13230016519419754,0.0027053108640707328,0.0,-0.06615008259709877,0.0,0.0,2.7755575615628914e-17
