admissible_state,ae4_expression,cluster_id,co2_factor,complete_rest_gate_pass,converged_root,cost,max_abs_scaled_independent_rhs,message,nfev,nhe1_factor,optimality,optimizer_success,predecessor_co2_factor,predecessor_nhe1_factor,root_alias,root_id,root_internal_gate_pass,seed_core_sha256,seed_id,selected_cluster,solution_core_sha256
True,1.0,B00,1.0,True,True,3.3071273946018677e-24,2.5478751053409354e-12,`xtol` termination condition is satisfied.,2,1.0,2.6683634308388426e-07,True,,,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,continuation_predecessor,True,2d7ab96634e977e3556efa0365f890fe54b3c9e1b3fd20c3747d19a6e8c12cd5
True,1.0,B00,1.0,True,True,3.754402011313824e-24,2.738694687698384e-12,`xtol` termination condition is satisfied.,193,1.0,3.6951441684530844e-08,True,,,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,e3cd5dd78410e9615afa1e1c93c22a33131d4dc2e6b3525c787e4ddc8c5e067e
True,1.0,B00,1.0,True,True,1.1405266065805631e-23,4.718447854656915e-12,`xtol` termination condition is satisfied.,84,0.5,5.032316330096249e-07,True,1.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,2d7ab96634e977e3556efa0365f890fe54b3c9e1b3fd20c3747d19a6e8c12cd5,continuation_predecessor,True,3e07dbe0ed7168a1ec314830cbc79d6ce985005dc162e938e4f4acdf2e167948
True,1.0,B00,1.0,True,True,1.1405266065805631e-23,4.718447854656915e-12,`xtol` termination condition is satisfied.,84,0.5,5.032316330096249e-07,True,1.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,3e07dbe0ed7168a1ec314830cbc79d6ce985005dc162e938e4f4acdf2e167948
True,1.0,B00,1.0,True,True,1.1405271109999415e-23,4.718447854656915e-12,`xtol` termination condition is satisfied.,172,0.5,5.032315890381295e-07,True,1.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,6816b6cc37025ecea63423cb07d47ecf6fddbd343d8dcecf84b0bc02bbfa4ee6
True,1.0,B00,1.0,True,True,7.229192228626619e-23,1.199344443203465e-11,`xtol` termination condition is satisfied.,64,0.25,1.2732109848832715e-06,True,1.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,3e07dbe0ed7168a1ec314830cbc79d6ce985005dc162e938e4f4acdf2e167948,continuation_predecessor,True,a5bfb09c2f98c9f4a3383224d2aa0137a9894ce609ba7b7b7e58c0fc83f65078
True,1.0,B00,1.0,True,True,7.229195114105314e-23,1.199344443203465e-11,`xtol` termination condition is satisfied.,106,0.25,1.2732112385589215e-06,True,1.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,a4e31c83c8630f059b58fa81057722ea3fda2f5720a74fb2eaf8b3253a9d1af3
True,1.0,B00,1.0,True,True,7.229193198244889e-23,1.199344443203465e-11,`xtol` termination condition is satisfied.,141,0.25,1.2732113559029546e-06,True,1.0,0.5,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,ad9a3125472395044b8d7022c0c00a674ccf394ad7a82f06410ffa0ac36ce14f,inherited_saved_rest,True,778366b3d9173f67e4a677de04cb7e78afeb51d814d266a4a4f3b631a03f0613
True,1.0,B00,2.0,True,True,1.1745674973602823e-23,4.378008372496467e-12,`xtol` termination condition is satisfied.,61,1.0,4.794954773385077e-07,True,1.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,2d7ab96634e977e3556efa0365f890fe54b3c9e1b3fd20c3747d19a6e8c12cd5,continuation_predecessor,True,0140dac520265d4d9f92296897c38a8d6986c92a7a02ad01e0a64b41a9b3c6b2
True,1.0,B00,2.0,True,True,1.1745674973602823e-23,4.378008372496467e-12,`xtol` termination condition is satisfied.,61,1.0,4.794954773385077e-07,True,1.0,1.0,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,True,cd654899393c3b4a8e9f01428070c71e199a4207e0dac68e99e9d260225b1048,task24_baseline_anchor,True,0140dac520265d4d9f92296897c38a8d6986c92a7a02ad01e0a64b41a9b3c6b2
