calcium_uM,change_from_5pct_percentage_points,change_percent,endpoint_change_cell_hco3_mM,endpoint_change_cell_ph,endpoint_change_cell_tic_mM,exact_null_lowers_secretion,interpretation,null_endpoint_cell_hco3_mM,null_endpoint_cell_ph,null_endpoint_cell_tic_mM,null_to_wt_ratio,null_total_0_600_pL,numerical_pair_available,paired_gate_pass,root_alias,root_id,routing_family,saved_task24_5pct_change_percent,saved_task24_5pct_to_wt_ratio,status,wt_endpoint_cell_hco3_mM,wt_endpoint_cell_ph,wt_endpoint_cell_tic_mM,wt_relative_difference_from_saved_task24,wt_total_0_600_pL
0.1,3.4231423222457424,4.0894869320388105,71.46798715124163,1.1189060014677956,72.01382403284703,False,formal model contrast; physiological validity requires both resting states to be admissible,76.28677839014517,8.00520310079851,77.62268239894864,1.040894869320388,0.8915118314411699,True,False,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.6663446097930681,1.0066634460979307,formal_contrast_from_closed_equilibrium,4.81879123890354,6.886297099330715,5.608858366101614,0.0,0.8564859504238386
0.25,8.88191667875471,9.805102942298083,73.9900465008046,1.137806752975271,74.58498253872013,False,formal model contrast; physiological validity requires both resting states to be admissible,78.56926575539177,8.011714047425944,79.93661635383623,1.0980510294229808,1.1074821342589718,True,False,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.9231862635433741,1.0092318626354337,formal_contrast_from_closed_equilibrium,4.579219254587168,6.873907294450673,5.351633815116098,0.0,1.0085889494962241
0.5,11.108191724775951,12.121584650386573,74.79578306243235,1.1435886751636994,75.40562789742587,False,formal model contrast; physiological validity requires both resting states to be admissible,79.30854108995003,8.013800290321576,80.68606632323099,1.1212158465038657,1.1785975128517525,True,False,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.0133929256106233,1.0101339292561062,formal_contrast_from_closed_equilibrium,4.512758027517675,6.870211615157877,5.280438425805117,0.0,1.0511780729168358
0.1,,,,,,,,,,,,,False,False,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,1.0042149850523923,not_computed_no_closed_null_rest,,,,,0.9897591938485629
0.25,,,,,,,,,,,,,False,False,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,1.005831971242196,not_computed_no_closed_null_rest,,,,,1.2117472010336026
0.5,,,,,,,,,,,,,False,False,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,1.0065133822472276,not_computed_no_closed_null_rest,,,,,1.2809890108227326
0.1,2.971398478065801,3.5761199220749385,69.7179899194705,1.11063973219742,70.24447166986303,False,formal model contrast; physiological validity requires both resting states to be admissible,74.52537545279979,7.994720687644877,75.84406771584787,1.0357611992207494,0.8714220354877342,True,False,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.6047214440091375,1.0060472144400914,formal_contrast_from_closed_equilibrium,4.807385533329291,6.884080955447457,5.599596045984838,0.0,0.8413348908448636
0.25,7.389046982777736,8.232927464692153,72.17473805984318,1.1287907209447487,72.74825755348698,False,formal model contrast; physiological validity requires both resting states to be admissible,76.7597587549633,8.001460273434871,78.10886890725808,1.0823292746469215,1.0710889295895236,True,False,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.8438804819144163,1.0084388048191442,formal_contrast_from_closed_equilibrium,4.5850206951201224,6.872669552490122,5.360611353771103,8.077493197577274e-15,0.9896146715045985
0.5,9.305152951010509,10.241109252758163,72.97092675144883,1.1344544400587422,73.55896640039556,False,formal model contrast; physiological validity requires both resting states to be admissible,77.49291915427031,8.003670657877334,78.8519675229202,1.1024110925275816,1.1392797348856616,True,False,R03,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.9359563017476535,1.0093595630174765,formal_contrast_from_closed_equilibrium,4.521992402821483,6.869216217818592,5.293001122524639,9.45379333312922e-15,1.0334436424016276
0.1,,,,,,,,,,,,,False,False,R04,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,,1.0037280354837423,not_computed_no_closed_null_rest,,,,,0.9607322862340238
