ae4_expression,ae4_parameters_sha256,calcium_uM,endpoint_flow_pL_s,exact_time_grid,initial_max_abs_amount_rhs_fmol_s,initial_max_abs_volume_rhs_pL_s,max_ae4_charge_residual_fmol_s,max_dimensionless_conservation_ratio,max_pointwise_anion_law_change_fmol_s,max_pointwise_chloride_law_change_fmol_s,max_pointwise_other_rhs_change,max_pointwise_total_cation_source_change_fmol_s,negative_net_cycle_samples,nonnegative_flow,onset_rest_rhs_match,opposing_cation_samples,positive_core,resting_state_sha256,root_alias,root_id,routing_family,sample_count,solver,solver_message,solver_success,total_0_600_pL,trajectory_path,valid,wall_seconds,whole_cell_parameters_sha256
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.1,0.0014286401353626828,True,2.220446049250313e-16,5.160802341031001e-17,1.734723475976807e-18,1.4210854715202002e-05,0.0,0.0,0.0,1.734723475976807e-18,0,True,True,0,True,f92bb6ae66c5f9ef636c8500e1ad77fc5c5dfb39ed7dd40382cedd4a50f7a273,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.8621930983881227,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.10_e0.05_production_radau.npz,True,0.9043384460001107,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.1,0.0014191972515961604,True,2.8449465006019636e-16,2.7538735181131813e-16,0.0,8.881784197001252e-06,0.0,0.0,0.0,8.673617379884035e-19,0,True,True,0,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.8564859504238386,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.10_e1.00_production_radau.npz,True,0.9460389369996847,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.25,0.0016167379967498452,True,2.8449465006019636e-16,2.7538735181131813e-16,0.0,2.4962670819306254e-05,0.0,0.0,0.0,8.673617379884035e-19,0,True,True,0,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.0085889494962241,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.25_e1.00_production_radau.npz,True,1.01924551799857,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.5,0.0016821026629221915,True,2.220446049250313e-16,5.160802341031001e-17,1.734723475976807e-18,3.1530333899354446e-05,0.0,0.0,0.0,1.734723475976807e-18,0,True,True,0,True,f92bb6ae66c5f9ef636c8500e1ad77fc5c5dfb39ed7dd40382cedd4a50f7a273,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.0618306371433452,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.50_e0.05_production_radau.npz,True,1.0225110709998262,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.5,0.001664692532896356,True,2.8449465006019636e-16,2.7538735181131813e-16,0.0,3.8996583739958623e-05,0.0,0.0,0.0,8.673617379884035e-19,0,True,True,0,True,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.0511780729168358,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.50_e1.00_production_radau.npz,True,1.0533737920013664,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,0.25,0.0016321772099374882,True,1.942890293094024e-16,5.160802341031001e-17,1.734723475976807e-18,2.733924198139448e-05,0.0,0.0,0.0,1.734723475976807e-18,0,True,True,0,True,c222422f0828449ccfc9592654ca2a6795fff14df998538ee67a5daf05c83802,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.0179001041335898,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.25_e0.05_production_radau.npz,True,1.0773458469993784,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0.1,0.0016562880617665644,True,2.8796409701215e-16,5.650861722994449e-16,0.0,1.4210854715202002e-05,0.0,0.0,0.0,8.673617379884035e-19,0,True,True,0,True,2aa0d60488f93247dd8acbcf0e5143ed7d1a0eb797b1c30cf2013bc318b389a2,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.9897591938485629,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.10_e1.00_production_radau.npz,True,0.802302686000985,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0.1,0.0016637074813188185,True,2.498001805406602e-16,8.116337463226486e-16,1.734723475976807e-18,0.00017053025658242404,0.0,0.0,0.0,2.6020852139652106e-18,0,True,True,0,True,502ac3834ee7d41431d453678dd43cdf8edc52acab7e7de6bcec1fdb04fa719d,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,0.9939310140561025,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.10_e0.05_production_radau.npz,True,0.8693040580001252,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0.25,0.0019972453877209833,True,2.498001805406602e-16,8.116337463226486e-16,1.734723475976807e-18,0.0007567280135845067,0.0,0.0,0.0,3.469446951953614e-18,0,True,True,0,True,502ac3834ee7d41431d453678dd43cdf8edc52acab7e7de6bcec1fdb04fa719d,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.2188140758628416,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.25_e0.05_production_radau.npz,True,0.8487713049999002,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,0.25,0.0019835466564845777,True,1.1535911115245767e-15,3.196228004487267e-16,0.0,2.05911676598447e-05,0.0,0.0,0.0,8.673617379884035e-19,0,True,True,0,True,40f4aab9d544ab4482a726b605301dce7afc0b5a4fff1a9df36c27242e9db40b,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,602,production_radau,The solver successfully reached the end of the integration interval.,True,1.2117472010336023,results/ae4_routing_re_equilibrated/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.25_e1.00_production_radau.npz,True,0.9085380800006533,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
