admissible_state,ae4_expression,calcium_uM,converged_root,cost,max_abs_amount_rhs_fmol_s,max_abs_current_residual_A,max_abs_scaled_independent_rhs,max_abs_volume_rhs_pL_s,max_dimensionless_conservation_ratio,message,nfev,optimality,optimizer_success,rest_gate_pass,root_alias,root_id,seed_core_sha256,seed_id,seed_source_path,solution_core_sha256
True,1.0,0.1,True,3.8888074968458624e-24,2.8449465006019636e-16,9.693522803355793e-27,2.7538735181131813e-12,2.7538735181131813e-16,9.693522803355793e-07,`xtol` termination condition is satisfied.,189,2.821275892236603e-07,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,inherited,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130
True,1.0,0.1,True,4.240746560833233e-22,4.544975507059235e-16,1.2924697071141057e-26,2.8978555666192563e-11,2.8978555666192563e-15,1.2924697071141057e-06,`xtol` termination condition is satisfied.,130,1.8610683904739994e-06,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,813b09b2556df7091f435f12dd77969a726dd2d91a33155bc2c53311877d5993,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.10_routing_only_e1.00_production_radau.npz,f0670552943571bee259aa5aee4c7488522a29a38be75cd3313679ce49a44cb6
True,0.05,0.1,True,1.3720673003737445e-25,2.220446049250313e-16,4.52364397489937e-26,5.160802341031001e-13,5.160802341031001e-17,4.839878497975292e-06,`xtol` termination condition is satisfied.,93,4.068498887043156e-09,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,6c4355d12c29172db8124a380608c83fb9b9bc49bf99e546817f325c251d2612,inherited_saved_rest,inherited,f92bb6ae66c5f9ef636c8500e1ad77fc5c5dfb39ed7dd40382cedd4a50f7a273
True,0.05,0.1,True,4.259370871738935e-22,2.7755575615628914e-16,9.693522803355793e-27,2.918455407896481e-11,2.918455407896481e-15,9.693522803355793e-07,`xtol` termination condition is satisfied.,274,2.94453570917418e-06,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,90b5e9984808349cca7d771a364afee06f2ba06313f801f5dad36b806ae1931a,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.10_routing_only_e0.05_production_radau.npz,33fff48d448ad472981dba49a6bb90463d1136236943bcdfba01a135f9c00f58
True,1.0,0.25,True,3.8888074968458624e-24,2.8449465006019636e-16,9.693522803355793e-27,2.7538735181131813e-12,2.7538735181131813e-16,9.693522803355793e-07,`xtol` termination condition is satisfied.,189,2.821275892236603e-07,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,inherited,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130
True,1.0,0.25,True,4.678470268608679e-24,1.6653345369377348e-16,1.6155871338926322e-26,3.0444397003392965e-12,3.0444397003392965e-16,1.7763568394002503e-06,`xtol` termination condition is satisfied.,178,3.9772188263893665e-08,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,6e3ae0ce9c62ac90ebd696e1f47af256cfe4707a4201e5e8f56b6beae11811db,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.25_routing_only_e1.00_production_radau.npz,83fd670982afeba9ab9267e54746fea352f028f6c29422ca7995b889009f148a
True,0.05,0.25,True,1.3720673003737445e-25,2.220446049250313e-16,4.52364397489937e-26,5.160802341031001e-13,5.160802341031001e-17,4.839878497975292e-06,`xtol` termination condition is satisfied.,93,4.068498887043156e-09,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,6c4355d12c29172db8124a380608c83fb9b9bc49bf99e546817f325c251d2612,inherited_saved_rest,inherited,f92bb6ae66c5f9ef636c8500e1ad77fc5c5dfb39ed7dd40382cedd4a50f7a273
True,0.05,0.25,True,1.3714616031644974e-25,1.942890293094024e-16,1.6155871338926322e-26,5.160802341031001e-13,5.160802341031001e-17,2.3505503099485736e-06,`xtol` termination condition is satisfied.,430,4.06830894212822e-09,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,c12d29e44940e8f466d5ebf38bc08a5034712922af273b1bde9ff947cd843293,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.25_routing_only_e0.05_production_radau.npz,c222422f0828449ccfc9592654ca2a6795fff14df998538ee67a5daf05c83802
True,1.0,0.5,True,3.8888074968458624e-24,2.8449465006019636e-16,9.693522803355793e-27,2.7538735181131813e-12,2.7538735181131813e-16,9.693522803355793e-07,`xtol` termination condition is satisfied.,189,2.821275892236603e-07,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,1c1b9bfc1eba9d989fed33af0601e3b3b729146bd0b340a32a5337e4624a3ce8,inherited_saved_rest,inherited,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130
True,1.0,0.5,True,3.888816663284395e-24,5.967448757360216e-16,1.6155871338926322e-26,2.7538735181131813e-12,2.7538735181131813e-16,3.3306690738754696e-06,`xtol` termination condition is satisfied.,180,2.8212750412152577e-07,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,a43a8b2ebad95c4bc445b438200881b9be70f5c938fc4467fa0e2f34da314821,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.50_routing_only_e1.00_production_radau.npz,28a045d59bc6276c682204d647a12248b9969ceb4ab34f5b1d53832d9c924c1a
True,0.05,0.5,True,1.3720673003737445e-25,2.220446049250313e-16,4.52364397489937e-26,5.160802341031001e-13,5.160802341031001e-17,4.839878497975292e-06,`xtol` termination condition is satisfied.,93,4.068498887043156e-09,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,6c4355d12c29172db8124a380608c83fb9b9bc49bf99e546817f325c251d2612,inherited_saved_rest,inherited,f92bb6ae66c5f9ef636c8500e1ad77fc5c5dfb39ed7dd40382cedd4a50f7a273
True,0.05,0.5,True,5.049318623458449e-22,6.973588373426765e-16,1.6155871338926322e-26,3.163918779747199e-11,3.163918779747199e-15,1.7763568394002503e-06,`xtol` termination condition is satisfied.,476,3.2122483248936607e-06,True,True,R01,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,b167ecbb658ed7e435e3c103a88ef9eaf27d22bb34d8bc97eb9cadcd0cad5a9f,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00_ca0.50_routing_only_e0.05_production_radau.npz,c50cc05f9fcdad21770d649d648274d12569e84989533566b7c5abf7fb2a4039
True,1.0,0.1,True,1.9523952103519938e-23,3.021888295151598e-15,1.2924697071141057e-26,5.650861722994449e-12,5.650861722994449e-16,1.7763568394002503e-06,`xtol` termination condition is satisfied.,411,5.372427446799944e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,inherited_saved_rest,inherited,70c23ac407d2b9bf34c65145786e6d53560b24ec9a1b53686facea6f843323cf
True,1.0,0.1,True,1.9522938135023357e-23,2.8796409701215e-16,9.693522803355793e-27,5.650861722994449e-12,5.650861722994449e-16,1.214306433183765e-06,`xtol` termination condition is satisfied.,172,5.372422381740674e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,95877c7dd7e65ad0e4586e9e3beb08343aa5a8976b3ae903a6bc4cfdc328ac60,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.10_routing_only_e1.00_production_radau.npz,2aa0d60488f93247dd8acbcf0e5143ed7d1a0eb797b1c30cf2013bc318b389a2
True,0.05,0.1,True,3.340315721558239e-23,2.498001805406602e-16,9.693522803355793e-27,8.116337463226486e-12,8.116337463226486e-16,0.00013500311979441904,`xtol` termination condition is satisfied.,169,6.275088303136353e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,df90d2d5780a45154aeeed08b595adb4554aeebd6489000b68ff6dbfd53f9c99,inherited_saved_rest,inherited,502ac3834ee7d41431d453678dd43cdf8edc52acab7e7de6bcec1fdb04fa719d
True,0.05,0.1,True,2.27552212660153e-22,1.6341528824570517e-13,2.908056841006738e-26,2.1157121193882134e-11,2.1157121193882134e-15,0.00013500311979441904,`xtol` termination condition is satisfied.,164,1.9055703432446895e-06,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,6e26149797fddb19890ac19ad83576c6a6d3ee54a9a6f1c32c373f79bd6215d2,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.10_routing_only_e0.05_production_radau.npz,d81a62c35edb74478154e49187602329ab971b6caa0a654ee6205a7b358b90cb
True,1.0,0.25,True,1.9523952103519938e-23,3.021888295151598e-15,1.2924697071141057e-26,5.650861722994449e-12,5.650861722994449e-16,1.7763568394002503e-06,`xtol` termination condition is satisfied.,411,5.372427446799944e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,inherited_saved_rest,inherited,70c23ac407d2b9bf34c65145786e6d53560b24ec9a1b53686facea6f843323cf
True,1.0,0.25,True,5.110013330737192e-24,1.1535911115245767e-15,9.693522803355793e-27,3.196228004487267e-12,3.196228004487267e-16,9.8879238130678e-07,`xtol` termination condition is satisfied.,232,2.936112913941164e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,eececfa874c03c5ae78b146fc5cfa2744e3e7a08b9a678d18954d3199a36e56f,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.25_routing_only_e1.00_production_radau.npz,40f4aab9d544ab4482a726b605301dce7afc0b5a4fff1a9df36c27242e9db40b
True,0.05,0.25,True,3.340315721558239e-23,2.498001805406602e-16,9.693522803355793e-27,8.116337463226486e-12,8.116337463226486e-16,0.00013500311979441904,`xtol` termination condition is satisfied.,169,6.275088303136353e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,df90d2d5780a45154aeeed08b595adb4554aeebd6489000b68ff6dbfd53f9c99,inherited_saved_rest,inherited,502ac3834ee7d41431d453678dd43cdf8edc52acab7e7de6bcec1fdb04fa719d
True,0.05,0.25,True,5.705397679180354e-23,1.547373340571312e-14,1.9387045606711586e-26,1.0570971181733668e-11,1.0570971181733668e-15,0.00013145040611561853,`xtol` termination condition is satisfied.,369,8.340957290849328e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,01e2d90d3d585d3c4111b4f20990e1017d5a5c1987100d41fa68db0785f55612,previous_routed_endpoint,results/ae4_routing_only/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00_ca0.25_routing_only_e0.05_production_radau.npz,c39b737450c031848957281a8ee071b3ca92f8d8ad082f0094665a4b1a9be8bf
True,1.0,0.5,True,1.9523952103519938e-23,3.021888295151598e-15,1.2924697071141057e-26,5.650861722994449e-12,5.650861722994449e-16,1.7763568394002503e-06,`xtol` termination condition is satisfied.,411,5.372427446799944e-07,True,True,R02,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,195fe83a7dd68d6b6e42e5d4ac033716c4e3be60cdc034b1b18e981b02d10710,inherited_saved_rest,inherited,70c23ac407d2b9bf34c65145786e6d53560b24ec9a1b53686facea6f843323cf
